"c_muestra_wineseq","avg_PER","min_PER","max_PER","sd","var","total","mediaan"
"000A0B",0.00243901707317073,7e-06,0.342483,0.0221707555401199,0.000491542401219758,410,5.7e-05
"A0213T",0.00173614756944444,4e-06,0.213728,0.0130059288115547,0.000169154184251229,576,0.000161
"A0213X",0.00406499593495935,9e-06,0.243655,0.0234315004518378,0.000549035213424474,246,0.000203
"A02141",0.01785725,8.3e-05,0.53796,0.0914666815884839,0.00836615384080909,56,0.000165
"A02145",0.0131579473684211,8.7e-05,0.127639,0.0276600714421323,0.00076507955218386,76,0.0005625
"A02149",0.00200798995983936,3e-05,0.232777,0.0123711101135895,0.000153044365442556,498,0.000391
"A0214G",0.0123459135802469,1.4e-05,0.874983,0.0979733229597727,0.00959877201177992,81,1.4e-05
"A0214H",0.0144928260869565,6.1e-05,0.502469,0.0810182831244892,0.0065639622004399,69,0.000122
"A0214K",0.004762,8e-06,0.729859,0.0529357658581195,0.00280219530698565,210,1.6e-05
"A0214L",0.0212765106382979,6.7e-05,0.527714,0.101131280274673,0.0102275358499944,47,6.7e-05
"A0214M",0.0048309806763285,1.1e-05,0.852569,0.0597667491500147,0.00357206430396078,207,3.3e-05
"A0214O",0.00214591845493562,1.5e-05,0.150311,0.00938329115071799,8.80461528191425e-05,466,0.000486
"A0214P",0.00900885585585586,6e-06,0.743666,0.0743627845845007,0.00552982373116085,111,6e-06
"A0214Q",0.00348435540069686,8e-06,0.841776,0.0502002950383381,0.0025200696219362,287,3.1e-05
"A0214S",0.0042194641350211,7e-06,0.723649,0.0498830209918684,0.00248831578327519,237,2e-05
"A03A0D",0.00126239015151515,7e-06,0.617495,0.0219707560672114,0.000482714122164907,792,9.8e-05
"A03A0E",0.00363631272727273,2e-06,0.318393,0.0286792763483556,0.000822500891865347,275,6.9e-05
"A03A0F",0.00258396124031008,1.1e-05,0.889698,0.0452194136706361,0.00204479537271611,387,7.4e-05
"A03A0G",0.00192685163776493,9e-06,0.619356,0.027633337568678,0.00076360134518451,519,8.9e-05
"A03A0H",0.002666656,3e-06,0.368496,0.0239151879693908,0.000571936215611295,375,6.7e-05
"A04A02",0.00170061734693878,7e-06,0.563247,0.0233258465525188,0.000544095117391654,588,0.000122
"A04A04",0.00277780833333333,4e-06,0.185856,0.0147811446903113,0.000218482238355919,360,0.000412
"A04A06",0.00108569163952226,7e-06,0.053129,0.00350996520242035,1.23198557222017e-05,921,0.000135
"A04A08",0.00584778362573099,1.7e-05,0.5022,0.0423197221608384,0.00179095888377055,171,0.000367
"A04A0A",0.00349653846153846,1.8e-05,0.69978,0.0416059740152561,0.00173105707375816,286,0.000188
"A04A0C",0.0046947558685446,2.4e-05,0.309153,0.0327487686717468,0.00107248184951559,213,2.4e-05
"A04A0E",0.00268819892473118,1e-05,0.36485,0.0209311302805858,0.000438112214822854,372,0.000165
"A04A0G",0.00311471962616822,1.3e-05,0.732704,0.0409916642533412,0.00168031653825865,321,0.000121
"A04A0I",0.00327871803278689,4e-06,0.424369,0.0272716938773515,0.000743745286939969,305,0.000235
"A04A0K",0.00216450865800866,7e-06,0.575764,0.027757855296365,0.000770498530653936,462,0.000175
"A05A02",0.00287351724137931,2e-06,0.397775,0.0226591990493658,0.00051343930155878,348,0.000258
"A05A05",0.0017421881533101,9e-06,0.096612,0.0065363345949097,4.27236699366134e-05,574,0.000136
"A05A07",0.0036496094890511,3e-06,0.413687,0.0296601977097301,0.000879727328180278,274,0.0001945
"A05A08",0.00418412970711297,1.1e-05,0.176419,0.014478162324046,0.000209617184281425,239,0.000741
"A05A0A",0.00292397660818713,2e-06,0.465074,0.0270349987753907,0.000730891158785374,342,8.9e-05
"A05A0C",0.00184163720073665,1.4e-05,0.134143,0.00708162535775632,5.01494177076173e-05,543,0.000409
"A05A0E",0.00245693611793612,1.4e-05,0.25905,0.0157627115303495,0.000248463074789013,407,0.000214
"A05A0G",0.002666664,3e-06,0.384286,0.0218961891404899,0.000479443098876107,375,0.000294
"A05A0I",0.0029939371257485,3e-06,0.326581,0.0230757047188013,0.000532488148269308,334,0.000177
"A05A0K",0.00215015913978495,9e-06,0.13461,0.00980862076034697,9.62090412203096e-05,465,0.000391
"A05A0M",0.00279327374301676,1.2e-05,0.202567,0.013668573378146,0.000186829898193762,358,0.000379
"A06A02",0.00243897804878049,9e-06,0.217048,0.0146184346523187,0.000213698631684113,410,0.000173
"A06A04",0.00268099463806971,1.9e-05,0.166749,0.0121182725118729,0.000146852528672014,373,0.000303
"A06A06",0.00390633984375,3.6e-05,0.227742,0.0163365009303938,0.000266881262648759,256,0.000712
"A06A08",0.00381685496183206,1.1e-05,0.212633,0.0155176754730263,0.000240798252086162,262,0.0005495
"A06A0A",0.00284072159090909,9e-06,0.191861,0.0144647684526751,0.000209229526389504,352,0.000234
"A06A0C",0.00877175438596491,1.7e-05,0.787324,0.0756538746918229,0.00572350875588604,114,3.5e-05
"A06A0E",0.00284267806267806,1e-05,0.146427,0.0123939561859367,0.000153610149938917,351,0.000337
"A06A0G",0.00259744415584416,2.2e-05,0.216343,0.0131125559153409,0.000171939122632941,385,0.000439
"A06A0I",0.00555544444444444,2.9e-05,0.308313,0.0254473543810922,0.000647567844996895,180,0.00019
"A06A0K",0.0042194388185654,3e-06,0.558039,0.038935203305847,0.00151595005646764,237,0.000215
"A06A0M",0.00286539541547278,2.9e-05,0.158726,0.0131445004029517,0.000172777890843197,349,0.000348
"A06A0O",0.00438593859649123,2e-06,0.589011,0.042029940442915,0.00176651589363498,228,6.1e-05
"A06A0Q",0.00403224596774194,3e-06,0.341399,0.029362490897822,0.00086215587172468,248,0.00014
"A06A0U",0.00215513793103448,4e-06,0.151646,0.0111896351373908,0.000125207934507932,464,0.0003305
"A06A0W",0.00181154528985507,5e-06,0.333353,0.0177498401075014,0.000315056823841864,552,8.5e-05
"A06A1J",0.00313479623824451,3e-06,0.327477,0.0259153548989805,0.000671605619540112,319,0.000114
"A06A1L",0.00471700471698113,3e-06,0.691049,0.0502575514341514,0.00252582147615638,212,5.3e-05
"A06A1N",0.00862046551724138,1.4e-05,0.738568,0.0715235893736777,0.00511562383689446,116,2.9e-05
"A06A1P",0.00311536137071651,9e-06,0.172914,0.0147886877369665,0.000218705284981503,321,0.000197
"A06A1R",0.0107526559139785,2.6e-05,0.700026,0.0766516217956414,0.00587547112390205,93,5.2e-05
"A06A1T",0.00268820430107527,1.1e-05,0.161229,0.0122418044261352,0.000149861775607744,372,0.000317
"A06A25",0.00396817063492064,1.2e-05,0.301757,0.0210740279020076,0.000444114652014593,252,0.000268
"A06A27",0.00324672727272727,1.5e-05,0.261232,0.0164375333730817,0.000270192503391176,308,0.0004885
"A07A02",0.0022472404494382,4e-06,0.210992,0.014558136654143,0.000211939342840703,445,0.000191
"A07A04",0.00269540431266846,8e-06,0.933134,0.0484392940059849,0.00234636520379824,371,4.6e-05
"A07A06",0.00108694347826087,8e-06,0.130286,0.0054138077996224,2.93093148912523e-05,920,8.2e-05
"A07A08",0.00102775436793422,7e-06,0.103021,0.00463928044258953,2.15229230249937e-05,973,8e-05
"A07A0A",0.00303027575757576,9e-06,0.933106,0.0513584284630502,0.00263768817419424,330,4.6e-05
"A07A0C",0.00186900934579439,4e-06,0.194388,0.0129016591453254,0.00016645280870216,535,0.00015
"A07A0E",0.00256409743589744,4e-06,0.330856,0.0216189381636125,0.000467378487322101,390,0.00012
"A07A0G",0.00478468899521531,4e-06,0.473517,0.0349152410529072,0.00121907405778262,209,0.000344
"A07A0I",0.00285696,1.3e-05,0.815222,0.043611233253678,0.00190193966590671,350,8.1e-05
"A07A0K",0.00266672266666667,1.3e-05,0.839723,0.0433710049801986,0.00188104407299241,375,7.6e-05
"A09A00",0.00323627184466019,3e-06,0.463129,0.0275360111066603,0.000758231907666122,309,0.000314
"A09A01",0.00485427669902913,4e-06,0.360433,0.0327720089296345,0.00107400456928404,206,9.4e-05
"A09A02",0.00308646296296296,3e-06,0.433518,0.0254514160400035,0.000647774578441349,324,0.000349
"A09A03",0.0055248729281768,5e-06,0.470888,0.0445826962216207,0.00198761680238932,181,8.8e-05
"A09A04",0.00900891891891892,6e-06,0.805199,0.0767553991893179,0.00589139130471155,111,1.3e-05
"A09A05",0.00467294859813084,9e-06,0.600703,0.041268450695987,0.00170308502284711,214,0.000338
"A09A06",0.00286531518624642,3e-06,0.402905,0.022855639221349,0.000522380244216466,349,0.000123
"A09A07",0.00288180115273775,3e-06,0.432516,0.0244906807220447,0.000599793442229133,347,0.000153
"A09A08",0.00432893939393939,1.7e-05,0.074032,0.00986769700481929,9.73714441789197e-05,231,0.000789
"A09A0A",0.00980386274509804,6.9e-05,0.236489,0.0344809261358928,0.0011889342671889,102,0.0005875
"A09A0D",0.00271739402173913,3e-06,0.474897,0.0257308094530925,0.000662074555111353,368,0.0001145
"A09A0E",0.00266667733333333,5e-06,0.408734,0.0222731021138791,0.000496091077775286,375,0.000255
"A09A0G",0.00265953457446808,8e-06,0.277927,0.0175856800921318,0.000309256144302801,376,0.000341
"A09A0H",0.0161289838709677,5.2e-05,0.295705,0.044387116985432,0.00197021615427842,62,0.0026355
"A10A01",0.00584788888888889,7e-06,0.556571,0.0441779846288176,0.00195169432586405,171,2.1e-05
"A10A03",0.00584788888888889,7e-06,0.556571,0.0441779846288176,0.00195169432586405,171,2.1e-05
"A10A05",0.00299400598802395,3.3e-05,0.47275,0.026235986666072,0.000688326996342306,334,0.000326
"A10A07",0.00285713142857143,3.8e-05,0.210655,0.0126771591836795,0.000160710364968351,350,0.000415
"A24A2V",0.00404846963562753,1e-05,0.252632,0.0244790527403145,0.000599224023063098,247,3e-05
"A24A2W",0.00205328542094456,5e-06,0.486391,0.0234408862705054,0.000549475149146767,487,4.2e-05
"A24A2Y",0.00243901707317073,7e-06,0.342483,0.0221707555401199,0.000491542401219758,410,5.7e-05
"A24A30",0.00401599196787149,1e-05,0.260922,0.0241347913809076,0.000582488154999933,249,5.2e-05
"A24A31",0.00657905263157895,1.6e-05,0.380965,0.0338990141453067,0.0011491431600237,152,6.3e-05
"A24A33",0.00347228819444444,2.7e-05,0.411914,0.0270664661071573,0.000732593587529893,288,8.1e-05
"A24A35",0.00363651272727273,8e-06,0.24136,0.0244056124968344,0.000595633921345641,275,3e-05
"A24A36",0.00332212292358804,2.4e-05,0.428289,0.0264000613433916,0.000696963238934841,301,7.3e-05
"A24A37",0.00337827702702703,2e-05,0.255865,0.0198798285075375,0.0003952075814891,296,8e-05
"A24A38",0.00120196394230769,8e-06,0.068578,0.00400169404905426,1.60135552622362e-05,832,0.000135
