"c_muestra_wineseq","total"
"A3B013",21
"A3B008",23
"A0214L",47
"A3B00Z",48
"A02141",56
"A09A0H",62
"A0214H",69
"A02145",76
"A0214G",81
"A06A1R",93
"A3B015",97
"A09A0A",102
"A0214P",111
"A09A04",111
"A06A0C",114
"A06A1N",116
"A3B00B",118
"A3B00M",127
"A3B010",144
"A3B00Q",147
"A3B00P",148
"A24A3J",150
"A24A31",152
"A3B00G",163
"A04A08",171
"A10A01",171
"A10A03",171
"A3B016",172
"A24A3L",177
"A06A0I",180
"A09A03",181
"A3I008",190
"A36005",194
"A3I00E",195
"A09A01",206
"A0214M",207
"A07A0G",209
"A0214K",210
"A06A1L",212
"A04A0C",213
"A09A05",214
"A3B00F",214
"A24A39",227
"A06A0O",228
"A09A08",231
"A0214S",237
"A06A0K",237
"A24A3E",238
"A05A08",239
"A24A3I",242
"A3I00C",244
"A0213X",246
"A24A2V",247
"A06A0Q",248
"A24A30",249
"A3B00U",250
"A06A25",252
"A24A3H",252
"A06A06",256
"A06A08",262
"A24A3G",262
"A24A3K",270
"A24A3M",270
"A3B00I",271
"A05A07",274
"A03A0E",275
"A24A35",275
"A3I00D",279
"A36004",282
"A04A0A",286
"A0214Q",287
"A24A33",288
"A3I00F",292
"A3B019",294
"A24A37",296
"A24A36",301
"A3B01D",302
"A04A0I",305
"A06A27",308
"A09A00",309
"A24A3D",316
"A06A1J",319
"A24A3A",319
"A04A0G",321
"A06A1P",321
"A09A02",324
"A3I00G",324
"A24A3N",325
"A07A0A",330
"A05A0I",334
"A10A05",334
"A05A0A",342
"A09A07",347
"A05A02",348
"A06A0M",349
"A09A06",349
"A07A0I",350
"A10A07",350
"A06A0E",351
"A06A0A",352
"E14009",352
"A3I009",356
"A05A0M",358
"A04A04",360
"A3I00H",364
"A3B014",365
"A09A0D",368
"A07A04",371
"A3I00B",371
"A04A0E",372
"A06A1T",372
"A06A04",373
"A03A0H",375
"A05A0G",375
"A07A0K",375
"A09A0E",375
"A09A0G",376
"A3B00L",384
"A06A0G",385
"A03A0F",387
"A07A0E",390
"A3B01B",390
"A05A0E",407
"000A0B",410
"A06A02",410
"A24A2Y",410
"A3B01F",414
"A3I00J",414
"E14007",442
"E14008",444
"A07A02",445
"A3H006",453
"A3B00O",459
"A04A0K",462
"A06A0U",464
"A05A0K",465
"A0214O",466
"A3G009",477
"A3G007",478
"A24A3F",480
"E11009",480
"A24A2W",487
"E11008",488
"A3G008",489
"A3G006",493
"A02149",498
"A03A0G",519
"A3I00A",519
"A3F006",521
"E11007",532
"A07A0C",535
"A05A0C",543
"A3I00I",545
"E11005",548
"A06A0W",552
"A05A05",574
"A0213T",576
"A04A02",588
"A3F007",595
"E14005",602
"A3H009",607
"A3H008",635
"A3F005",685
"E14006",690
"A3B007",696
"A5601G",708
"A3H005",722
"A3H007",737
"E11006",742
"A5601F",743
"B0100Q",784
"A03A0D",792
"A3G005",824
"B0100R",830
"A24A38",832
"A07A06",920
"A04A06",921
"A07A08",973
"A5601E",1124
