"","genus_specie","avg_PER","min_PER","max_PER","sd","mediaan","var","total","limit"
"1","Achromobacter sp.",0.00217808791208791,5e-06,0.015199,0.00267195840223921,0.001216,7.1393617032967e-06,91,0.00485004631432712
"2","Acinetobacter sp.",0.0910263958333333,0.000156,0.600703,0.138729590827357,0.031875,0.0192458993711259,96,0.22975598666069
"3","Arthrobacter sp.",0.00277822826086957,6e-06,0.017975,0.00320695677216473,0.0017765,1.02845717385332e-05,92,0.00598518503303429
"4","Azospira sp.",0.00347836842105263,6e-06,0.016057,0.00379022876436584,0.002089,1.43658340862262e-05,95,0.00726859718541847
"5","Bacillus sp.",0.0788571666666667,0.000189,0.575764,0.132993753130198,0.017994,0.0176873383716561,96,0.211850919796865
"6","Blastocatella sp.",0.00378341935483871,3e-06,0.02146,0.00418048252447578,0.002315,1.74764341374474e-05,93,0.00796390187931449
"7","Bradyrhizobium sp.",0.00221386170212766,4e-06,0.030352,0.00426521796793568,0.0008505,1.81920843140014e-05,94,0.00647907967006334
"8","Bryobacter sp.",0.0040569247311828,4e-06,0.042908,0.00608494756369919,0.001997,3.70265868529687e-05,93,0.010141872294882
"9","Chthoniobacter sp.",0.00127875862068966,3e-06,0.008792,0.0016420302801893,0.000504,2.69626344105854e-06,87,0.00292078890087895
"10","Corynebacterium sp.",0.00268337777777778,7e-06,0.031901,0.00462393024270352,0.0011265,2.13807308893883e-05,90,0.0073073080204813
"11","Devosia sp.",0.000988465909090909,4e-06,0.008368,0.00136021695318945,0.000497,1.85019015974399e-06,88,0.00234868286228036
"12","Enterobacter sp.",0.00491401111111111,1.6e-05,0.066981,0.00965398582585027,0.0012455,9.31994423257179e-05,90,0.0145679969369614
"13","Erwinia sp.",0.0278146559139785,5e-06,0.371684,0.0588646080361526,0.005182,0.00346504207924988,93,0.0866792639501311
"14","Escherichia sp.",0.00535746875,1.5e-05,0.106712,0.0130727482528818,0.001913,0.000170896746883224,96,0.0184302170028818
"15","Ferruginibacter sp.",0.00263324137931034,8e-06,0.017077,0.00308816717286648,0.0014,9.53677648757017e-06,87,0.00572140855217683
"16","Flavisolibacter sp.",0.00440604347826087,1.8e-05,0.01555,0.00433423434031551,0.0028985,1.87855873167702e-05,92,0.00874027781857637
"17","Gaiella sp.",0.00264729787234043,1.8e-05,0.01096,0.0026769864208499,0.0019495,7.16625629741478e-06,94,0.00532428429319033
"18","Gemmata sp.",0.00141042528735632,3e-06,0.005419,0.00148172271385319,0.001068,2.19550220074846e-06,87,0.00289214800120951
"19","Gemmatimonas sp.",0.00496720833333333,9e-06,0.020293,0.00505187589528915,0.0036495,2.55214500614035e-05,96,0.0100190842286225
"20","Geobacillus sp.",0.00143334090909091,6e-06,0.00886,0.00176984643068043,0.0007095,3.13235638819227e-06,88,0.00320318733977134
"21","Haliangium sp.",0.00192415909090909,3e-06,0.010293,0.00227123895444585,0.0011445,5.15852638819227e-06,88,0.00419539804535494
"22","Hymenobacter sp.",0.0101786436781609,4e-06,0.136437,0.0200268346330135,0.00242,0.00040107410541807,87,0.0302054783111744
"23","Kaistobacter sp.",0.00112236363636364,8e-06,0.004556,0.00120482695072414,0.0007055,1.45160798119122e-06,88,0.00232719058708777
"24","Massilia sp.",0.0169615416666667,2.5e-05,0.279296,0.034102104732365,0.006225,0.00116295354717719,96,0.0510636463990317
"25","Methylobacterium sp.",0.022410043956044,4e-06,0.267874,0.0534791346250338,0.002288,0.00286001784024249,91,0.0758891785810778
"26","Microvirga sp.",0.0039717032967033,6e-06,0.017812,0.00431675627833499,0.002712,1.86343847665446e-05,91,0.00828845957503829
"27","Nitrosococcus sp.",0.0036033152173913,1e-05,0.043715,0.00549848454432323,0.0022875,3.02333322841615e-05,92,0.00910179976171454
"28","Nitrososphaera sp.",0.0120621368421053,1.7e-05,0.054736,0.0124416510685223,0.009198,0.000154794681310862,95,0.0245037879106276
"29","Nocardioides sp.",0.00293663829787234,9e-06,0.01521,0.00314206410429621,0.002287,9.87256683550675e-06,94,0.00607870240216855
"30","Novosphingobium sp.",0.00267409375,9e-06,0.014386,0.00287997910474191,0.001618,8.29427964375e-06,96,0.00555407285474191
"31","Oenococcus oeni",0.077613043956044,2.4e-05,0.466663,0.098387039096498,0.0378,0.00968000946217583,91,0.176000083052542
"32","Ornatilinea sp.",0.00127159090909091,8e-06,0.007867,0.00153853986337071,0.000711,2.36710491118077e-06,88,0.00281013077246162
"33","Paenibacillus sp.",0.00263848275862069,3e-06,0.070244,0.00771804253087661,0.001193,5.95681805084202e-05,87,0.0103565252894973
"34","Patulibacter sp.",0.000931390804597701,3e-06,0.004318,0.00101174066394371,0.000646,1.02361917107725e-06,87,0.00194313146854141
"35","Pedosphaera sp.",0.00399497826086957,6e-06,0.013889,0.00419472547132014,0.002269,1.7595721779742e-05,92,0.00818970373218971
"36","Planomicrobium sp.",0.000980183908045977,6e-06,0.008338,0.00140796338589365,0.000527,1.98236089601711e-06,87,0.00238814729393963
"37","Promicromonospora sp.",0.00486878723404255,8e-06,0.023463,0.0054104836523266,0.0030075,2.92733333520933e-05,94,0.0102792708863691
"38","Pseudomonas sp.",0.0432135894736842,5e-06,0.403615,0.0756874471476871,0.007637,0.00572858965573393,95,0.118901036621371
"39","Rhodoplanes sp.",0.00353921505376344,1.2e-05,0.021141,0.00414471189760142,0.002103,1.71786367141187e-05,93,0.00768392695136486
"40","Rubrobacter sp.",0.00239470526315789,1.1e-05,0.016335,0.00327708460169617,0.001069,1.07392834866741e-05,95,0.00567178986485406
"41","Skermanella sp.",0.00267844444444444,8e-06,0.012857,0.00282239240740427,0.001776,7.96589890137329e-06,90,0.00550083685184872
"42","Solirubrobacter sp.",0.00275365263157895,6e-06,0.017852,0.00306180957747046,0.002062,9.37467788868981e-06,95,0.0058154622090494
"43","Sphingomonas sp.",0.08161215625,0.000291,0.518827,0.138792449426687,0.015592,0.0192633440178595,96,0.220404605676687
"44","Staphylococcus sp.",0.00458271276595745,8e-06,0.113507,0.0124169563155556,0.0016035,0.000154180804142416,94,0.016999669081513
"45","Streptococcus sp.",0.0050327191011236,7e-06,0.24083,0.0258210966424342,0.000718,0.000666729031817926,89,0.0308538157435578
"46","Streptomyces sp.",0.00278620652173913,6e-06,0.011281,0.00267740746975089,0.002121,7.16851075907788e-06,92,0.00546361399149002
"47","Veillonella dispar",0.0101921808510638,9e-06,0.133568,0.0248440080333365,0.0034295,0.00061722473516049,94,0.0350361888844004
