"c_muestra_wineseq","avg_PER","min_PER","max_PER","sd","var","total","mediaan"
"B02000",0.00327866229508197,2.9e-05,0.250559,0.0162994284570664,0.000265671368027027,305,0.000872
"B02001",0.00223060714285714,2.3e-05,0.106192,0.00871793526250861,7.60023952412911e-05,448,0.000253
"B02002",0.00260951174934726,4.2e-05,0.128171,0.0103037743605198,0.000106167766072506,383,0.000297
"B02003",0.00324664285714286,1.6e-05,0.134373,0.0124101934217216,0.000154012900764542,308,0.000353
"B02004",0.00515471134020619,5e-05,0.125465,0.0164253331155777,0.000269791567957694,194,0.000347
"B02005",0.00222189977728285,2e-05,0.108176,0.00774243547566551,5.99453070948438e-05,449,0.000303
"B02006",0.00268820698924731,1.1e-05,0.898184,0.0465793226218009,0.00216963329590582,372,4.4e-05
"B02007",0.00215984881209503,1.8e-05,0.242238,0.011941669784282,0.000142603477236833,463,0.000463
"B02008",0.00363630181818182,2.3e-05,0.252831,0.0179138764479935,0.000320906969393975,275,0.000938
"B02009",0.0025974,2.3e-05,0.190075,0.010984060239255,0.000120649579339584,385,0.000547
"B0200A",0.00288176657060519,3.7e-05,0.739645,0.0397343744939093,0.00157882051642223,347,0.000222
"B0200B",0.00403223790322581,1.7e-05,0.56479,0.0359032121823097,0.00128904064500795,248,0.0007475
"B0200C",0.00122850122850123,3.82948087557251e-06,0.391905243325215,0.0146610415008495,0.000214946137889632,814,1.91474043778625e-05
"B0200D",0.00209213179916318,9e-06,0.518668,0.0238660217029564,0.000569586991925988,478,0.000273
"B0200E",0.00413227272727273,1.8e-05,0.339184,0.0229246137403714,0.000525537915145227,242,0.00044
"B0200F",0.00581385465116279,1.3e-05,0.241075,0.0293480352643807,0.000861307173879332,172,2.7e-05
"B0200G",0.00297635416666667,1.3e-05,0.29348,0.0194730510061756,0.000379199715489118,336,0.000138
"B0200H",0.00398399601593625,7e-06,0.877629,0.0554552952710197,0.00307528977359598,251,5e-05
"B0200I",0.004629625,7e-06,0.327671,0.032654441548007,0.00106631255281221,216,2.2e-05
"B0200J",0.00302119033232628,1e-05,0.435643,0.0241012639901784,0.00058087092592427,331,0.000455
"B0200K",0.00469485915492958,2e-05,0.212667,0.019820368126707,0.000392846992678183,213,4e-05
"B0200L",0.00746259701492537,2.4e-05,0.181023,0.0258429595511562,0.000667858558362698,134,7.2e-05
"B0200M",0.00257070437017995,3.3e-05,0.298105,0.0166095736867064,0.000275877938054129,389,0.000425
