"c_muestra_wineseq","total"
"B02019",123
"B0200L",134
"B0201A",145
"B0201G",158
"B0201I",170
"B0200F",172
"B0201L",174
"B0201K",181
"B0201B",183
"B02004",194
"B0200O",195
"B0200K",213
"B0200P",215
"B0200I",216
"B0200U",223
"B02011",241
"B0200E",242
"B0200B",248
"B0200H",251
"B0201P",251
"B0201M",254
"B0201D",267
"B02008",275
"B02010",275
"B0201C",299
"B02000",305
"B02003",308
"B0200T",314
"B0200X",316
"B02012",320
"B02015",322
"B0200V",325
"B0200Y",327
"B0200J",331
"B0201O",333
"B0200G",336
"B0200A",347
"B0200N",348
"B0201J",369
"B0200Z",371
"B02006",372
"B02002",383
"B02009",385
"B0200M",389
"B02013",391
"B02016",398
"B0200W",407
"B02018",444
"B02001",448
"B02005",449
"B02007",463
"B0200D",478
"B02017",490
"B0200R",498
"B02014",520
"B0200Q",525
"B0201N",592
"B0201E",679
"B0200C",814
"B0200S",856
