"c_muestra_wineseq","max_PER"
"B0200Y",0.070824
"B0200S",0.088695
"B0200V",0.093179
"B02001",0.106192
"B0201O",0.10695
"B02005",0.108176
"B02018",0.108607
"B0201M",0.11154
"B02004",0.125465
"B02002",0.128171
"B02003",0.134373
"B0200N",0.137679
"B0200R",0.142942
"B0200U",0.169223
"B02013",0.169698
"B0200L",0.181023
"B02009",0.190075
"B0201N",0.191325852471826
"B0201G",0.201837
"B0200K",0.212667
"B0200O",0.222184
"B02014",0.224371
"B02017",0.226225
"B02012",0.23532
"B0201I",0.239494
"B0200F",0.241075
"B02007",0.242238
"B0200T",0.242289
"B02000",0.250559
"B0201A",0.250805
"B02008",0.252831
"B0200W",0.253999
"B02019",0.292335
"B0200G",0.29348
"B0200M",0.298105
"B0201K",0.299379
"B0200I",0.327671
"B0200E",0.339184
"B0201L",0.37209
"B0200C",0.391905243325215
"B0201C",0.427438
"B0200J",0.435643
"B02016",0.440317
"B02010",0.459901
"B0201J",0.507384
"B0201E",0.518388
"B0200D",0.518668
"B0200B",0.56479
"B0200Z",0.617980997074692
"B02015",0.724105
"B0200A",0.739645
"B02011",0.800872
"B0200X",0.813761
"B0200P",0.870909
"B0200H",0.877629
"B02006",0.898184
"B0201D",0.913919
"B0200Q",0.95394370332015
"B0201P",0.976028000837161
"B0201B",0.987118349023111
