"","genus_specie","avg_PER","min_PER","max_PER","sd","mediaan","var","total","limit"
"1","Achromobacter sp.",0.00134919718935136,7e-06,0.005441,0.0014984811114479,0.001039,2.24544564136614e-06,29,0.00284767830079926
"2","Acinetobacter sp.",0.00463095457667935,2.2e-05,0.043073,0.00802830738877378,0.0016155,6.44537195286396e-05,32,0.0126592619654531
"3","Anaerolinea sp.",0.000382429132158579,1.7e-05,0.001817,0.000457480806757486,0.0002015,2.0928868855148e-07,30,0.000839909938916065
"4","Anaerostipes sp.",0.00899059159765049,1e-05,0.036394,0.0111371716129218,0.0047745,0.000124036591535672,30,0.0201277632105723
"5","Arthrobacter sp.",0.00149833981139867,2.2e-05,0.007655,0.00161703832328546,0.001205,2.61481293897386e-06,32,0.00311537813468413
"6","Azospira sp.",0.00457329490569933,1.54369823786846e-05,0.01757,0.0042129766768746,0.0038425,1.77491724798893e-05,32,0.00878627158257393
"7","Bacillus sp.",0.00747402245284967,7.71849118934231e-06,0.024586,0.00557493939371853,0.0067115,3.10799492436347e-05,32,0.0130489618465682
"8","Bacteroides sp.",0.0216220898113987,1.5e-05,0.134373,0.0435650025265219,0.0032625,0.00189790944513586,32,0.0651870923379206
"9","Blastocatella sp.",0.0027045393061674,7e-06,0.007261,0.00241694624101274,0.002028,5.84162913194563e-06,31,0.00512148554718014
"10","Blautia sp.",0.0137957615569933,4e-05,0.076538,0.0215413713554274,0.0065255,0.000464030679872426,32,0.0353371329124207
"11","Bradyrhizobium sp.",0.00220445662817961,2.2e-05,0.010751,0.00277417034675643,0.001256,7.69602111282267e-06,31,0.00497862697493604
"12","Clostridium sp.",0.0142274838709677,0.000893,0.042782,0.0105753766737359,0.012307,0.000111838591791398,31,0.0248028605447037
"13","Coprococcus sp.",0.00717183333333333,1e-05,0.034543,0.0109319667129316,0.002862,0.000119507896212644,30,0.0181038000462649
"14","Corynebacterium sp.",0.0914669677419355,0.000326,0.459901,0.119031648942479,0.043716,0.0141685334499656,31,0.210498616684415
"15","Enterobacter sp.",0.0187758064516129,0.002735,0.091733,0.0195245902926188,0.010142,0.000381209626094624,31,0.0383003967442317
