"c_muestra_wineseq","avg_PER","min_PER","max_PER","sd","var","total","mediaan"
"A02081",0.00446434375,7e-06,0.280738,0.0239660807359265,0.000574373025840947,224,0.00016
"A02085",0.0036899926199262,5e-06,0.15228,0.0145102558601105,0.000210547525125871,271,4.3e-05
"A03A0S",0.00326795424836601,8e-06,0.585272,0.0375726471682616,0.00141170381523068,306,3.1e-05
"A03A1C",0.00305805810397553,1.7e-05,0.199287,0.0132329437835122,0.000175110801177595,327,0.000352
"A03A20",0.0322582258064516,4e-06,0.996764,0.179004867905263,0.0320427427337806,31,1.2e-05
"A03A4A",0.00334435785953177,8e-06,0.394274,0.0315272127264318,0.000993965142297681,299,2.5e-05
"A03A4C",0.013513472972973,4.4e-05,0.26585,0.0442424524931524,0.00195739460260885,74,0.0009405
"A04A17",0.00377376981132075,6e-06,0.78806,0.0496390296657292,0.00246403326615514,265,2.2e-05
"A04A1A",0.00197231558185404,6e-06,0.739797,0.0328683976735029,0.00108033156562353,507,9.8e-05
"A04A2A",0.00285712285714286,1.3e-05,0.838752,0.0448304076683106,0.00200976545170692,350,0.000106
"A04A31",0.00371742750929368,4e-06,0.829312,0.0506257479596795,0.002562966356477,269,6.5e-05
"A05A0N",0.00378807575757576,1e-05,0.616876,0.0435480679801105,0.00189643422480033,264,1.9e-05
"A05A0T",0.00327870163934426,1.8e-05,0.146483,0.0126438659607619,0.000159867346433714,305,0.000462
"A05A11",0.00116824299065421,6e-06,0.151957,0.00678529340270337,4.60402065607699e-05,856,0.000129
"A05A1D",0.00177936298932384,5e-06,0.175165,0.0105225814087783,0.000110724719504367,562,0.0001755
"A05A1F",0.0016778355704698,8e-06,0.108009,0.00764942737593084,5.85137391796402e-05,596,0.000189
"A05A1H",0.00288184438040346,6e-06,0.610236,0.0373819562978958,0.00139741065665779,347,1.7e-05
"A05A1X",0.00229887586206897,4e-06,0.657064,0.0316488684186767,0.00100165087218271,435,8.4e-05
"A05A2J",0.00225732731376975,6e-06,0.112457,0.00893641939460337,7.98595915962432e-05,443,0.000242
"A05A2L",0.00216916702819957,1.6e-05,0.107503,0.00867726370591794,7.52949054220408e-05,461,0.000337
"A05A2V",0.00598804191616766,1e-05,0.93385,0.0722828399490546,0.00522480895110065,167,3.1e-05
"A07A0U",0.00314471698113208,4e-06,0.974924,0.0546669918712174,0.00298848000024775,318,2e-05
"A07A0X",0.00564965536723164,8e-06,0.575478,0.0501736790758982,0.00251739807201122,177,2.4e-05
"A07A10",0.00366304395604396,1.2e-05,0.919797,0.0556556400474049,0.0030975502690863,273,7.1e-05
"A07A14",0.00316865396825397,1.4e-05,0.152905,0.0113351662988768,0.000128485995023193,315,0.000485
"A07A1V",0.00442474778761062,1.3e-05,0.708523,0.0473454497226795,0.00224159160944277,226,0.000274
"A17A0O",0.00395260869565217,5e-06,0.348283,0.0245153257001324,0.000601001194183573,253,7.4e-05
"A17A0Q",0.00366305860805861,6e-06,0.432133,0.030721771392677,0.000943827237503906,273,0.00014
"A17A0S",0.00558668156424581,8e-06,0.436301,0.0341121260345977,0.00116363714260028,179,0.000525
"A17A0U",0.00526318421052632,6e-06,0.449852,0.0376338342086083,0.00141630547724102,190,8.7e-05
"A17A0W",0.00502514070351759,5e-06,0.512644,0.0377350724916463,0.0014239356959498,199,0.000217
"A17A0Y",0.00598808982035928,5e-06,0.442038,0.0386383487891827,0.00149292199715454,167,5.7e-05
"A17A10",0.00606053333333333,5e-06,0.482009,0.0432132363641914,0.00186738379706748,165,3.7e-05
"A17A12",0.00537646774193548,5e-06,0.375782,0.0336970036421002,0.00113548805445571,186,1.4e-05
"A17A14",0.00409844262295082,6e-06,0.36496,0.0279568945124937,0.000781587950782702,244,4.75e-05
"A29A19",0.00146049707602339,1.1e-05,0.068227,0.00479407792391277,2.29831831405478e-05,684,0.000225
"A29A21",0.000859217540842648,4e-06,0.089749,0.00379262210599289,1.43839824388659e-05,1163,7.3e-05
"A29A35",0.00135093369418133,8e-06,0.110287,0.00488887142608608,2.39010638208009e-05,739,0.000319
"A29A36",0.00149682185628743,1.1e-05,0.151066,0.00868307046869477,7.53957127643192e-05,668,0.000215
"A36000",0.00571423428571429,7e-06,0.441622,0.0418883580292583,0.00175463453838733,175,1.4e-05
"A36006",0.00775197674418605,1.3e-05,0.711472,0.0654477803718432,0.00428341195560102,129,5.1e-05
"A3A004",0.0545777222222222,6e-05,0.968164,0.228007280585719,0.0519873200000947,18,6e-05
"A3A008",0.0765580769230769,3.1e-05,0.961831,0.266108040675356,0.0708134893120769,13,6.3e-05
"A3A009",0.0516105789473684,1.8e-05,0.962362,0.220559783277388,0.0486466179993684,19,1.8e-05
"A3A00F",0.0169817068965517,6e-05,0.941166,0.123502655340303,0.0152529058761056,58,0.00012
"A3A01E",0.0429584782608696,2e-05,0.954724,0.198838058435152,0.0395365734822609,23,4e-05
"A3B01P",0.0025165919395466,1.9e-05,0.176856,0.013049728730674,0.000170295419944177,397,0.000134
"A3F00A",0.00282480790960452,2.7e-05,0.153558,0.0111510451460696,0.000124345807849682,354,0.000299
"A3F00B",0.00361014440433213,2.3e-05,0.236615,0.0191500055299707,0.00036672271179791,277,0.000137
"A3F00C",0.00222177777777778,4e-06,0.224968,0.014106344548804,0.000198988956529572,450,4.2e-05
"A3G00A",0.00161290322580645,9.4581429882057e-06,0.157109213177085,0.00827052638928571,6.84016067558714e-05,620,0.000156059359305394
"A3G00B",0.0020608824742268,3.5e-05,0.589338,0.0276201735886425,0.000762873989066745,485,0.000106
"A3G00C",0.00440514537444934,1.3e-05,0.855192,0.0573132438040038,0.00328480791533718,227,2.6e-05
"A3G00Q",0.00232558139534884,2.90250486169564e-05,0.176211070153543,0.0115080399212966,0.000132434982830156,430,0.000290250486169564
"A3K001",0.00327703606557377,3.2e-05,0.31356,0.0213087253708338,0.000454061776929617,305,0.000193
"A3O000",0.00142008238636364,1.3e-05,0.244849,0.00981268551186651,9.62887969547949e-05,704,0.000211
"A3O001",0.00233619626168224,6e-06,0.396483,0.0232699469588907,0.000541490431469588,428,0.000137
"A3O008",0.00127679182630907,7e-06,0.120702,0.00715443305682124,5.11859123645366e-05,783,0.000181
"E02000",0.00230943418013857,9e-06,0.413125,0.0246654470582675,0.000608384278584198,433,0.000132
"E1100A",0.00202819675456389,5e-06,0.206692,0.014887153322533,0.000221627334048607,493,7.6e-05
"E1100B",0.00309589783281734,1e-05,0.208417,0.0148975663442125,0.000221937482980213,323,0.000115
"E1100C",0.00173230329289428,3e-06,0.636533,0.0266600212892958,0.000710756735145705,577,3.9e-05
"E1400A",0.00261776439790576,1.2e-05,0.11969,0.0112502978285215,0.000126569201230435,382,0.000145
"E1400B",0.00276237016574586,1.1e-05,0.376495,0.0204013038583374,0.000416213199120214,362,0.000172
"E1400C",0.00198757654075547,7e-06,0.28727,0.0152245053713543,0.000231785563802397,503,1e-04
"P0000L",0.00526324736842105,9.4e-05,0.73419,0.0545117063604205,0.00297152613032471,190,0.000188
"P0000N",0.00456608219178082,8.8e-05,0.475652,0.0382879023966861,0.00146596346993816,219,0.000177
"P0000U",0.00373126492537313,5.8e-05,0.499041,0.0316608929602737,0.00100241214304191,268,0.000174
"P00014",0.00345998961937716,7.5e-05,0.483662,0.0309970645035413,0.000960818007836699,289,0.000151
"P00016",0.00286102005730659,8.1e-05,0.349645,0.0204114701713079,0.000416628114554193,349,0.000242
"P0001C",0.00689665517241379,7.4e-05,0.304891,0.0288363203947391,0.000831533373908045,145,0.000813
"P0001V",0.00354398226950355,8.8e-05,0.397233,0.0249478542751802,0.000622395432935625,282,0.000438
"P0001X",0.00296608605341246,6.5e-05,0.447759,0.0258821044027911,0.000669883328316979,337,0.000259
"P0001Y",0.00353256537102474,8.8e-05,0.576652,0.0358584015453622,0.00128582496138844,283,0.000264
"P0001Z",0.00336655555555556,7.7e-05,0.619496,0.0371954296053261,0.00138349998352477,297,0.000154
"P00020",0.00471709905660377,1e-04,0.650803,0.0457648562871191,0.00209442207098067,212,2e-04
"P00022",0.00425533191489362,8.7e-05,0.585755,0.0405242373024983,0.00164221380894919,235,0.000175
"P00023",0.00640992948717949,6.4e-05,0.706391,0.0590898615645492,0.00349161173971758,156,6.4e-05
"P00028",0.00334461872909699,9.4e-05,0.575103,0.0340264746978615,0.00115780098036421,299,0.000188
"P0002K",0.00462955555555556,5.9e-05,0.441499,0.0338503835093065,0.00114584846372713,216,0.000118
"P0002N",0.00358166308243728,9.8e-05,0.349848,0.0241987719315256,0.000585580562993991,279,0.000197
"P0002S",0.0036229347826087,8.7e-05,0.582036,0.0361204786244755,0.00130468897606119,276,0.000174
"P0003V",0.00476132380952381,7.4e-05,0.353102,0.031257598232785,0.000977037447282204,210,0.000295
"P00044",0.00384582692307692,8.7e-05,0.607034,0.0390556065990941,0.0015253404068232,260,0.000262
"P00045",0.00298354925373134,7.8e-05,0.569361,0.0327977917832754,0.00107569514585909,335,0.000156
"P0004D",0.00305346177370031,5.1e-05,0.549987,0.0317145357267904,0.00100581177636586,327,0.000203
"P0004M",0.00305667278287462,6.1e-05,0.432598,0.0256250283053554,0.000656642075650267,327,0.000184
"P0004U",0.00452298642533937,9.9e-05,0.673043,0.0469475891803807,0.0022040761298498,221,0.000198
"P00057",0.01000011,8.9e-05,0.624091,0.063603836084346,0.00404544796464435,100,0.000355
"P00078",0.00469376525821596,9.2e-05,0.347703,0.0270142077995816,0.000729767423038974,213,0.000183
