"c_muestra_wineseq","total"
"A3A008",13
"A3A004",18
"A3A009",19
"A3A01E",23
"A03A20",31
"A3A00F",58
"A03A4C",74
"P00057",100
"A36006",129
"P0001C",145
"P00023",156
"A17A10",165
"A05A2V",167
"A17A0Y",167
"A36000",175
"A07A0X",177
"A17A0S",179
"A17A12",186
"A17A0U",190
"P0000L",190
"A17A0W",199
"P0003V",210
"P00020",212
"P00078",213
"P0002K",216
"P0000N",219
"P0004U",221
"A02081",224
"A07A1V",226
"A3G00C",227
"P00022",235
"A17A14",244
"A17A0O",253
"P00044",260
"A05A0N",264
"A04A17",265
"P0000U",268
"A04A31",269
"A02085",271
"A07A10",273
"A17A0Q",273
"P0002S",276
"A3F00B",277
"P0002N",279
"P0001V",282
"P0001Y",283
"P00014",289
"P0001Z",297
"A03A4A",299
"P00028",299
"A05A0T",305
"A3K001",305
"A03A0S",306
"A07A14",315
"A07A0U",318
"E1100B",323
"A03A1C",327
"P0004D",327
"P0004M",327
"P00045",335
"P0001X",337
"A05A1H",347
"P00016",349
"A04A2A",350
"A3F00A",354
"E1400B",362
"E1400A",382
"A3B01P",397
"A3O001",428
"A3G00Q",430
"E02000",433
"A05A1X",435
"A05A2J",443
"A3F00C",450
"A05A2L",461
"A3G00B",485
"E1100A",493
"E1400C",503
"A04A1A",507
"A05A1D",562
"E1100C",577
"A05A1F",596
"A3G00A",620
"A29A36",668
"A29A19",684
"A3O000",704
"A29A35",739
"A3O008",783
"A05A11",856
"A29A21",1163
