"c_muestra_wineseq","max_PER"
"A29A19",0.068227
"A29A21",0.089749
"A05A2L",0.107503
"A05A1F",0.108009
"A29A35",0.110287
"A05A2J",0.112457
"E1400A",0.11969
"A3O008",0.120702
"A05A0T",0.146483
"A29A36",0.151066
"A05A11",0.151957
"A02085",0.15228
"A07A14",0.152905
"A3F00A",0.153558
"A3G00A",0.157109213177085
"A05A1D",0.175165
"A3G00Q",0.176211070153543
"A3B01P",0.176856
"A03A1C",0.199287
"E1100A",0.206692
"E1100B",0.208417
"A3F00C",0.224968
"A3F00B",0.236615
"A3O000",0.244849
"A03A4C",0.26585
"A02081",0.280738
"E1400C",0.28727
"P0001C",0.304891
"A3K001",0.31356
"P00078",0.347703
"A17A0O",0.348283
"P00016",0.349645
"P0002N",0.349848
"P0003V",0.353102
"A17A14",0.36496
"A17A12",0.375782
"E1400B",0.376495
"A03A4A",0.394274
"A3O001",0.396483
"P0001V",0.397233
"E02000",0.413125
"A17A0Q",0.432133
"P0004M",0.432598
"A17A0S",0.436301
"P0002K",0.441499
"A36000",0.441622
"A17A0Y",0.442038
"P0001X",0.447759
"A17A0U",0.449852
"P0000N",0.475652
"A17A10",0.482009
"P00014",0.483662
"P0000U",0.499041
"A17A0W",0.512644
"P0004D",0.549987
"P00045",0.569361
"P00028",0.575103
"A07A0X",0.575478
"P0001Y",0.576652
"P0002S",0.582036
"A03A0S",0.585272
"P00022",0.585755
"A3G00B",0.589338
"P00044",0.607034
"A05A1H",0.610236
"A05A0N",0.616876
"P0001Z",0.619496
"P00057",0.624091
"E1100C",0.636533
"P00020",0.650803
"A05A1X",0.657064
"P0004U",0.673043
"P00023",0.706391
"A07A1V",0.708523
"A36006",0.711472
"P0000L",0.73419
"A04A1A",0.739797
"A04A17",0.78806
"A04A31",0.829312
"A04A2A",0.838752
"A3G00C",0.855192
"A07A10",0.919797
"A05A2V",0.93385
"A3A00F",0.941166
"A3A01E",0.954724
"A3A008",0.961831
"A3A009",0.962362
"A3A004",0.968164
"A07A0U",0.974924
"A03A20",0.996764
