"c_muestra_wineseq","avg_PER","min_PER","max_PER","sd","var","total","mediaan"
"000A01",0.00128867396907216,5e-06,0.098455,0.00533115860003507,2.84212520187279e-05,776,9.2e-05
"000A04",0.00106623347547974,7e-06,0.077481,0.00449992404416732,2.02493164032752e-05,938,7.8e-05
"000A06",0.000933612511671335,5e-06,0.079133,0.00455189199424619,2.07197207272826e-05,1071,4.5e-05
"000A08",0.00132456158940397,1.6e-05,0.062822,0.00490096534607789,2.40194613234564e-05,755,9.5e-05
"000A0A",0.00138895833333333,1.3e-05,0.064205,0.00462887486377846,2.14264825045201e-05,720,0.00015
"000C07",0.00243901707317073,7e-06,0.342483,0.0221707555401199,0.000491542401219758,410,5.7e-05
"000C09",0.00128867396907216,5e-06,0.098455,0.00533115860003507,2.84212520187279e-05,776,9.2e-05
"A02005",0.00105147844374343,1.4e-05,0.035576,0.00323194219843248,1.04454503740086e-05,951,0.000124
"A02006",0.00110627101769911,1.2e-05,0.039835,0.00368884919445112,1.36076083794027e-05,904,9.4e-05
"A02007",0.00104381106471816,1.4e-05,0.045812,0.00350737651791995,1.23016900384563e-05,958,9.9e-05
"A02008",0.0011197849944009,1.3e-05,0.041135,0.00394309178171296,1.55479727990123e-05,893,9.4e-05
"A02014",0.0010245881147541,9e-06,0.148769,0.00582524504992836,3.39334798917149e-05,976,8.25e-05
"A02019",0.00117659764705882,1.2e-05,0.05263,0.00412971426618978,1.70545399203714e-05,850,9.2e-05
"A02020",0.00109765751920966,1.1e-05,0.050836,0.00381733922510183,1.4572078759501e-05,911,9.1e-05
"A02023",0.00127541198979592,2e-05,0.114656,0.00534033177036143,2.85191434175317e-05,784,0.000141
"A02024",0.00104704607329843,7e-06,0.064831,0.0044922541154422,2.01803470377074e-05,955,7.1e-05
"A02034",0.00137366620879121,7e-06,0.055388,0.00432170441501279,1.8677129050741e-05,728,0.000113
"A02039",0.00149033979135618,1.7e-05,0.0877,0.00600918359027939,3.61102874216831e-05,671,0.000116
"A02040",0.000983340216322517,6e-06,0.039268,0.00323261627061372,1.04498079530365e-05,1017,0.000104
"A02049",0.000829120232172471,3e-06,0.106458,0.00479516896059316,2.2993645360636e-05,1206,4.9e-05
"A02054",0.0012593564231738,1e-05,0.045306,0.00450002219724556,2.02501997757028e-05,794,7.3e-05
"A02065",0.000979315377081293,5e-06,0.105336,0.00509799586135578,2.59895618024006e-05,1021,7.1e-05
"A02066",0.00099401888667992,6e-06,0.095245,0.00439664592181722,1.9330495361832e-05,1006,8e-05
"A02094",0.00132273015873016,2e-06,0.084342,0.0051036523375636,2.60472671827184e-05,756,0.000192
"A02095",0.00136425375170532,5e-06,0.037617,0.0038864674111916,1.51046289382544e-05,733,0.00018
"A02096",0.00138883611111111,5e-06,0.053525,0.00444275892128194,1.97381068326302e-05,720,0.00015
"A02097",0.00135685210312076,5e-06,0.056569,0.00447152309045556,1.99945187484773e-05,737,0.00017
"A02123",0.0015722893081761,3.6e-05,0.123704,0.00622941864058224,3.88056565996335e-05,636,0.000181
"A02124",0.00117785630153121,1.3e-05,0.099878,0.0047170876393939,2.22509157977227e-05,849,0.000102
"A02126",0.00145980583941606,1.5e-05,0.132489,0.00696298237561491,4.84831235631238e-05,685,0.000106
"A02127",0.00114678669724771,6e-06,0.088383,0.0045025101589799,2.02725977317172e-05,872,0.000101
"A02128",0.00128867396907216,5e-06,0.098455,0.00533115860003507,2.84212520187279e-05,776,9.2e-05
"A02136",0.00147710339734121,2e-05,0.071604,0.00514860140093821,2.65080963857429e-05,677,0.000122
"A02137",0.00126104918032787,1.2e-05,0.046348,0.00407535230971947,1.66084964483358e-05,793,0.000106
"A02138",0.00165007590759076,2.6e-05,0.04689,0.0051412703351109,2.64326606586913e-05,606,0.000157
"A0213A",0.00122542524509804,1e-05,0.06001,0.0048165522301555,2.31991753858159e-05,816,9.3e-05
"A0213B",0.00119898800959233,1.4e-05,0.074448,0.00476912752972848,2.27445773948141e-05,834,8.4e-05
"A0213C",0.00125939546599496,1.3e-05,0.068073,0.00491681592697987,2.41750788598029e-05,794,9.2e-05
"A0213E",0.00173611111111111,3.26829427721672e-05,0.1814230153283,0.00903056955580491,8.15511865022305e-05,576,0.000147073242474752
"A0213F",0.00132456158940397,1.6e-05,0.062822,0.00490096534607789,2.40194613234564e-05,755,9.5e-05
"A0213I",0.00175131348511384,4.27606260155649e-05,0.162276575729069,0.00817515663691794,6.68331860381434e-05,571,0.00017104250406226
"A0213J",0.00125938287153652,1.9e-05,0.058464,0.00447596592879362,2.00342709957213e-05,794,9.5e-05
"A0213K",0.00128703732303732,2.3e-05,0.075936,0.00505195091028148,2.55222079998938e-05,777,0.000113
"A0213L",0.00118343905325444,1.5e-05,0.076808,0.00451577834296435,2.03922540427859e-05,845,8.8e-05
"A0213M",0.00127224554707379,9e-06,0.088921,0.00539989342117158,2.91588489600121e-05,786,8.3e-05
"A0213N",0.00153373619631902,2.2e-05,0.113278,0.00624116779127197,3.89521753988106e-05,652,0.000111
"A0213O",0.00189035916824197,3.63121391481172e-05,0.181560695740586,0.00920004686915596,8.46408623946664e-05,529,0.000181560695740586
"A0213S",0.00113378004535147,1.7e-05,0.091906,0.00498691838285332,2.48693549572404e-05,882,6.7e-05
"A02140",0.00111229810901001,1.1e-05,0.070579,0.00480832180301674,2.31199585613661e-05,899,6.7e-05
"A02144",0.00136791108071135,2e-05,0.066515,0.00464791403134433,2.16031048427675e-05,731,0.000123
"A02148",0.00115347404844291,1.4e-05,0.099256,0.00504171930563114,2.54189335567738e-05,867,8.2e-05
"A0214C",0.00111366703786192,1.6e-05,0.049456,0.00399582447020699,1.5966613196705e-05,898,7.9e-05
"A0214D",0.00103525983436853,1.3e-05,0.04839,0.00392709849328221,1.54221025759394e-05,966,7.8e-05
"A0214J",0.00116944678362573,1.9e-05,0.075993,0.00467151349802305,2.18230383622116e-05,855,9.7e-05
"A0214N",0.00108686956521739,1.4e-05,0.057569,0.00422330585878819,1.78363123768747e-05,920,8.7e-05
"A0214R",0.00101317223910841,1.1e-05,0.066874,0.00408838538986532,1.67148950960642e-05,987,7.5e-05
"A03A01",0.00137739669421488,7e-06,0.127868,0.00629679241844904,3.96495947610373e-05,726,0.000134
"A03A02",0.0013585964673913,2.2e-05,0.088743,0.00480391558450631,2.30776049430626e-05,736,0.000177
"A03A03",0.00131569078947368,9e-06,0.053882,0.00429858594764862,1.84778411493222e-05,760,0.000133
"A03A04",0.00127392229299363,7e-06,0.077904,0.00468045637713789,2.19066718982907e-05,785,0.000136
"A03A05",0.00199196215139442,4e-06,0.890054,0.0397452072623594,0.00157968150032791,502,2.8e-05
