"c_muestra_wineseq","total"
"A10A04",80
"A24A2S",131
"A29A09",213
"A24A0T",243
"A24A2T",244
"A24A2R",259
"A3B01J",273
"A3C000",284
"A3P00A",311
"A3P009",312
"A3B01K",325
"A24A2Q",332
"A3G004",332
"A04A05",343
"P01027",355
"A33A26",369
"A3P00E",387
"A3P00B",388
"A3E003",404
"000C07",410
"A19A02",415
"A10A00",419
"A29A13",425
"A09A0Y",440
"A33A20",440
"A3D002",446
"E02004",447
"WWW027",453
"A24A2P",456
"A29A24",456
"A3B000",456
"A46008",461
"A37001",470
"A06A05",471
"A17A1H",474
"E18001",475
"P0104X",487
"A3P00C",489
"P0105X",489
"A14A02",492
"A3U004",495
"P0105J",496
"A03A05",502
"A17A0H",505
"P0105T",510
"P0105W",513
"P0101Y",514
"A18A01",521
"A17A1N",522
"P0101X",524
"P01026",525
"E0800B",527
"P01059",527
"A0213O",529
"A21A03",530
"A3Q003",531
"A3D000",532
"P0101T",533
"A17A1L",537
"A29A12",537
"A33A21",537
"P0105L",543
"P0105S",544
"A47004",545
"BMK03G",545
"A09A0X",547
"A17A1M",547
"A3D005",547
"A27A02",548
"P01012",548
"P0102K",554
"P01065",554
"P0102G",555
"A06A0P",556
"A24A1M",556
"P0104F",559
"A06A0N",560
"A21A01",563
"A24A1Y",563
"A33A28",563
"A3F000",565
"P0100J",565
"P0102F",565
"P0103A",565
"E14000",566
"P01053",566
"A12A02",569
"P0100N",569
"A3P00D",570
"APG00M",570
"A0213I",571
"P0103G",571
"A33A25",572
"APG00W",573
"P01017",575
"P01038",575
"P0106B",575
"A0213E",576
"P01056",576
"A17A1F",577
"A24A05",577
"P01000",578
"P0106L",578
"A17A1O",579
"A20A02",579
"P01003",579
"P01037",579
"P01039",580
"P01048",580
"P01064",580
"A3Q006",581
"P01045",581
"BMK03W",582
"WWW02Q",582
"A33A27",583
"A09A1J",584
"A10A06",584
"P0105Y",584
"A3Q007",585
"P0100L",586
"P01010",588
"P01067",588
"A09A13",590
"A3D001",590
"BMK03M",590
"P01057",590
"A06A24",591
"A31A00",591
"P0101Z",591
"P01069",591
"P0101C",592
"P0103E",592
"P0106I",592
"P0104D",595
"P0104N",595
"A17A1K",596
"A24A0Q",596
"P0100I",596
"P0101A",597
"P0101D",597
"P0106A",597
"P01006",598
"P0102J",598
"P0106J",598
"P0106N",598
"E0800A",599
"A06A0T",600
"A19A03",600
"P0103D",600
"P01054",600
"A06A07",601
"A07A09",601
"A33A29",602
"P0103J",603
"P01051",603
"A06A01",604
"A3B002",604
"P0104U",604
"A18A03",605
"A3F001",605
"A02138",606
"A47000",606
"A33A23",607
"A09A1C",608
"A3Q004",608
"P01024",608
"P01046",608
"A21A02",609
"E11000",609
"P0103V",609
"A3F002",610
"P01013",611
"P01040",611
"A09A1D",612
"BMK03P",612
"P0104Z",612
"P0105A",612
"A24A29",613
"P0104M",613
"A20A03",614
"A07A01",615
"P01031",615
"P0104B",616
"A37008",617
"BMK03N",617
"P0105G",617
"P0105O",617
"A05A0L",618
"P0106E",619
"A19A01",620
"A33A22",620
"E08007",620
"P0106C",621
"A3Q002",622
"P01016",623
"A05A09",624
"A3D003",624
"A47003",625
"P0104A",625
"APG00F",626
"BMK03V",626
"P01021",626
"A04A07",627
"A09A0W",627
"A24A1X",627
"A3Q005",628
"P0100R",628
"P0105I",628
"P0106D",628
"A3H003",629
"A5D000",629
"P0103Q",630
"A06A03",631
"P0100W",631
"A04A01",632
"P0101K",632
"P0103L",633
"P01034",634
"P0103F",634
"A18A02",635
"P0100G",635
"P0104V",635
"A02123",636
"A06A0H",636
"B0100H",636
"P0101M",636
"P01055",636
"B0100E",637
"P0100X",637
"P0102M",637
"P0105F",637
"A07A07",638
"A37009",638
"E08004",638
"P0100P",638
"A04A0D",639
"A37007",639
"A3Q001",639
"P0101V",639
"P0105Z",639
"P01061",639
"P01007",641
"P0103H",641
"A06A26",642
"APG00K",642
"APG00Y",642
"P0100C",642
"P0103Y",644
"WWW017",644
"P01018",645
"P0101B",645
"A09A0B",646
"P0102P",646
"B0100D",647
"P0103N",647
"A04A0F",648
"A04A0H",648
"A24A1P",649
"P0105H",649
"P0102D",650
"P0103I",651
"A0213N",652
"A05A0F",652
"A05A0J",652
"BMK03X",652
"P01036",652
"A37006",653
"BMK03I",654
"P01030",654
"WWW007",654
"P0103B",655
"A25A0O",656
"P0103R",657
"A05A06",658
"A06A1K",658
"A5B000",658
"A31A01",659
"A46005",659
"P01066",659
"WWW01E",659
"P0102L",660
"P0102V",660
"A06A0F",661
"P0102I",661
"P0104W",662
"P0100M",663
"P0103K",663
"P0103U",663
"P0105P",665
"A3D006",666
"P01020",666
"BMK03U",667
"P0103C",667
"P0101I",668
"P01022",668
"APQ001",669
"BMK03J",669
"P0102W",669
"P01035",669
"BMK03O",670
"P0103X",670
"P01044",670
"A02039",671
"P0102Z",671
"A05A01",672
"A27A01",672
"A37005",672
"APG006",672
"P0102O",672
"P01033",672
"A06A0R",673
"A06A0J",674
"A31A07",674
"A31A02",676
"APR001",676
"BMK03R",676
"P01009",676
"A02136",677
"A3D007",677
"A3Q000",677
"A25A0P",678
"P0100K",678
"P01011",678
"A09A1B",679
"A3S007",679
"APG00Z",680
"P0103P",681
"P0104P",681
"P0104Y",681
"A3U000",682
"P01015",682
"A3G000",683
"A20A01",684
"A3B001",684
"WWW01T",684
"A02126",685
"A07A03",685
"A33A24",685
"P01001",686
"P0103M",686
"P0103W",686
"A11A0D",687
"A3T001",687
"APG007",687
"P0104K",688
"P01049",689
"P0100V",690
"P0102T",690
"P0104J",691
"A04A0B",692
"A3T002",692
"P0103S",692
"P0105Q",692
"E11002",693
"A47002",694
"APR000",694
"A3E004",695
"BMK03L",695
"A24A1L",696
"P01041",696
"P0104L",696
"P0102R",697
"P01052",697
"A05A0H",698
"A06A0V",698
"A37004",698
"A5A000",698
"P01019",698
"P0102S",698
"BMK03Q",699
"P01043",699
"A3G001",702
"A3G002",703
"A24A2A",704
"A3T004",704
"A5I000",706
"A04A03",707
"P01023",708
"A04A0J",709
"A06A1Q",709
"A3T003",710
"P0100B",710
"P01008",711
"APG00X",712
"APG010",712
"P0100Y",712
"P01042",712
"BMK03H",713
"P0100S",713
"APY001",714
"E08006",715
"BMK03K",716
"P01002",716
"APS000",718
"P0100A",718
"P0105N",718
"A06A09",719
"WWW02Y",719
"000A0A",720
"A02096",720
"A05A0B",720
"A12A01",720
"A5F000",720
"WWW02H",720
"B0100G",721
"A07A0B",722
"A24A1O",722
"APS002",722
"A07A0D",724
"A03A01",726
"APS001",726
"WWW029",726
"APG00N",727
"P0102Q",727
"A02034",728
"A06A0D",729
"A06A1I",730
"APG013",730
"WWW00A",730
"A02144",731
"A04A09",732
"A02095",733
"A03A07",735
"A03A02",736
"A3H000",736
"A02097",737
"P01014",737
"A17A04",738
"P0104Q",738
