"c_muestra_wineseq","max_PER"
"P0103Y",0.018473
"P01013",0.0233
"P0101I",0.025819
"P0103X",0.026713
"P0101D",0.026738
"P0106C",0.026988
"P0101K",0.027079
"P0104L",0.027118
"P01011",0.02741
"P0104N",0.027879
"P0100X",0.02793
"P0103H",0.028046
"P01069",0.028128
"P0103L",0.02814
"P01031",0.028158
"P0100B",0.028399
"A04A0F",0.028426
"P0103K",0.028486
"P0100Y",0.028672
"P01000",0.028805
"P0101C",0.028873
"P01040",0.029106
"P01066",0.029253
"P0106I",0.029543
"P0102R",0.029627
"P0106L",0.029656
"P01026",0.029966
"P0103S",0.030057
"P01064",0.030285
"P0106E",0.030521
"P0100W",0.030687
"P01034",0.030995
"P0106D",0.031264
"P01067",0.031352
"P0103N",0.031509
"P0104K",0.031649
"P0100R",0.031672
"P0104P",0.031763
"P0101M",0.03181
"P0102P",0.032016
"P01043",0.032103
"P0102Q",0.032168
"A3B001",0.0322
"P0104M",0.032341
"P0102I",0.032493
"P0103R",0.032605
"P01016",0.032635
"P0106J",0.032884
"P01007",0.032929
"P0103J",0.032929
"P0100V",0.032938
"A3U001",0.033013
"P01033",0.033069
"P01059",0.033239
"P01010",0.033248
"P01035",0.033286
"P0101B",0.033301
"P0105O",0.033318
"P0105H",0.033368
"P0102S",0.033483
"P0102D",0.033542
"P01042",0.033836
"P0103U",0.033893
"P0106A",0.033911
"AB0000",0.03396
"P0100S",0.033977
"P0104S",0.03406
"P0104F",0.034088
"P01046",0.034098
"A3B005",0.034149
"P0102G",0.034154
"P0103M",0.034279
"P0100M",0.034336
"P0103C",0.034356
"A07A0F",0.034397
"P0105P",0.034426
"B0100G",0.0344497302129562
"WWW03U",0.034572
"P01065",0.034574
"A24A20",0.034658
"P01048",0.034833
"P0105I",0.03486
"P0102F",0.034985
"P0102H",0.034995
"P0103B",0.035051
"P01044",0.035072
"P0102J",0.035114
"P01014",0.035353
"P01002",0.035373
"P0102K",0.035437
"P01038",0.035571
"A02005",0.035576
"P01021",0.035604
"P0104J",0.035702
"WWW04E",0.035743
"P0102M",0.035753
"P0104Q",0.035762
"P01055",0.035801
"A36002",0.035839
"P01017",0.03585
"P0104R",0.035907
"P0103I",0.035915
"P0106B",0.036088
"P0106N",0.036116
"P0105Q",0.036149
"P0104U",0.036237
"P0103D",0.036589
"A29A38",0.036981
"P0105F",0.037154
"P01036",0.037217
"P0100L",0.03731
"P0103Q",0.03737
"P01008",0.037424
"P0103G",0.037595
"A02095",0.037617
"P0102L",0.037621
"P0100P",0.037726
"P0104B",0.03775
"P0100A",0.037761
"P01024",0.03782
"P0105T",0.037842
"P01049",0.03793
"APG00M",0.0380589914367269
"P0105N",0.038072
"A29A24",0.038112
"A24A28",0.038153
"P0105Y",0.038162
"A3U008",0.038168
"P0104A",0.038177
"P0105G",0.038212
"P0102O",0.038245
"P0101X",0.038262
"P01020",0.038265
"P01039",0.038652
"P01057",0.038747
"P01056",0.038763
"P0100K",0.038878
"P0103F",0.039059
"A07A0J",0.039128
"A24A19",0.039151
"A27A01",0.039185
"A02040",0.039268
"P0105A",0.039442
"P0102Z",0.039473
"P01037",0.039473
"A02006",0.039835
"P01030",0.040008
"P01019",0.0401
"A29A34",0.040116
"P01045",0.040422
"P0103V",0.040494
"P01015",0.040727
"A29A15",0.040812
"P01003",0.040995
"A24A18",0.041057
"A02008",0.041135
"A24A14",0.041487
"P01023",0.041644
"P01006",0.041848
"P0103A",0.041878
"A29A32",0.042161
"P01009",0.042361
"P01012",0.042403
"P01022",0.042645
"B0100E",0.042737
"A06A26",0.042763
"P0105Z",0.043109
"P01061",0.043109
"A29A39",0.0433
"P01001",0.043333
"P0103W",0.043367
"P0105S",0.043419
"A24A2P",0.043444
"P0100I",0.04353
"B0100D",0.043576
"P0103P",0.043669
"P0103E",0.043906
"P0100J",0.044069
"A3B003",0.044259
"A09A0Y",0.0446
"A24A1T",0.044637
"P01018",0.044702
"A05A06",0.044817
"A29A13",0.04499
"A02054",0.045306
"A3B01K",0.04536
"A3S000",0.045699
"P0101Y",0.04572
"A02007",0.045812
"A29A14",0.045914
"A09A1I",0.045923
"B0100F",0.045941
"P0101Z",0.045964
"A02137",0.046348
"A33A22",0.046462
"P0100G",0.046571
"P0100C",0.04658
"A29A16",0.046663
"P0105L",0.046817
"A33A21",0.046835
"A02138",0.04689
"A24A2K",0.046907
"A29A22",0.047454
"A05A09",0.047536
"WWW018",0.04759
"P01054",0.047806
"P0105X",0.047824
"A3U00A",0.047896
"APG014",0.0480222175078591
"B0100H",0.0481131041537281
"P0104W",0.048299
"A0214D",0.04839
"P0105W",0.048855
"A05A0H",0.049004
"A56007",0.049307
"A0214C",0.049456
"A05A01",0.049502
"A09A1D",0.049621
"A07A07",0.049633
"A24A2O",0.049848
"A06A1I",0.049993
"P0101V",0.050252
"A11A0D",0.050308
"P0105J",0.050329
"WWW00A",0.050355
"A3I000",0.050571
"A07A0D",0.050655
"A24A1Z",0.050709
"A07A05",0.050719
"A02020",0.050836
"A29A07",0.050863
"P0102T",0.051133
"P01051",0.051169
"A06A1Q",0.051508
"A3C000",0.051595
"A29A31",0.051636
"A3B004",0.051639
"A07A01",0.051673
"P0101T",0.05182
"A3I002",0.051839
"A37001",0.051984
"A3G002",0.051994
"APG00Z",0.052061841101156
"P0102W",0.052062
"A24A2M",0.052401
"A02019",0.05263
"A29A18",0.052691
"P0104V",0.052715
"A24A0S",0.052745
"P01053",0.052919
"A3I006",0.052994
"A24A2F",0.053254
"WWW02M",0.053475
"A02096",0.053525
"A06A01",0.053581
"A33A25",0.053658
"A29A37",0.05366
"A29A30",0.05373
"A24A0R",0.05378
"A03A03",0.053882
"A11A0B",0.053928
"P0102V",0.053981
"A24A13",0.053992
"A07A03",0.054048
"A05A04",0.054298
"APG00X",0.0543615267767687
"A5600Q",0.0545540710497056
"A36003",0.054577
"A09A0W",0.054668
"A25A0O",0.055296
"A07A09",0.055375
"A3U00F",0.05538
"A02034",0.055388
"A04A0B",0.055498
"P01052",0.055584
"WWW041",0.055796
"A29A12",0.055901
"A04A0H",0.055928
"APG00N",0.0560081122190299
