"","genus_specie","avg_PER","min_PER","max_PER","sd","mediaan","var","total","limit"
"1","Achromobacter sp.",0.00969086649872214,2.60010400416017e-05,0.025613,0.00572690549305968,0.0097075,3.27974465264371e-05,492,0.0154177719917818
"2","Acidiferrobacter sp.",0.00112094088689578,1.05253186540222e-05,0.0224605129691349,0.0013441746180113,0.00085,1.80680540370581e-06,490,0.00246511550490707
"3","Aciditerrimonas sp.",0.00129104456226685,4e-06,0.00690922920892495,0.000824786364628585,0.0011985,6.80272547277237e-07,492,0.00211583092689543
"4","Acidocella sp.",0.000469184500686365,5e-06,0.049706235812525,0.00237907809591656,0.000249,5.66001258646997e-06,451,0.00284826259660293
"5","Acidothermus sp.",0.0013271432577544,1e-05,0.051914,0.00384712916311746,0.000449,1.48004027977088e-05,488,0.00517427242087186
"6","Acidovorax sp.",0.00275247475429729,1.47099924979038e-05,0.0269462287399507,0.00236972346907087,0.0023855,5.61558931986526e-06,492,0.00512219822336816
"7","Acinetobacter sp.",0.00233345075769935,1e-05,0.119314,0.0088755997310403,0.0005625,7.87762705856427e-05,480,0.0112090504887397
"8","Actinomadura sp.",0.000887626854021995,6e-06,0.00808990941239161,0.00103545466140952,0.000547,1.0721663558347e-06,482,0.00192308151543152
"9","Actinomycetospora sp.",0.00069526088006919,4e-06,0.00751741278267006,0.000982682955330705,0.000419,9.65665790697489e-07,478,0.0016779438353999
"10","Actinophytocola sp.",0.000793996221191289,5e-06,0.007667,0.00095561405288132,0.000501,9.13198218064262e-07,460,0.00174961027407261
"11","Actinoplanes sp.",0.00178984078147752,7e-06,0.02431,0.00252702470735259,0.0005985,6.38585387157046e-06,484,0.00431686548883011
"12","Adhaeribacter sp.",0.00496068480000964,1.2e-05,0.056667,0.00689149135327225,0.002957,4.74926530722262e-05,487,0.0118521761532819
"13","Aeromicrobium sp.",0.00128833216750009,5e-06,0.0130515300273377,0.00158416086763055,0.000849,2.50956565453196e-06,487,0.00287249303513063
"14","Afifella sp.",0.00118497990767008,6e-06,0.024476674094911,0.00216796390466381,0.000629,4.70006749192514e-06,483,0.00335294381233389
"15","Agromyces sp.",0.00199946302245137,4e-06,0.0165286462734494,0.00203092683926873,0.0014555,4.12466382646209e-06,480,0.0040303898617201
"16","Alicycliphilus sp.",0.000543436242681662,7e-06,0.0227830444553509,0.00131291620341508,0.000319,1.72374895718987e-06,466,0.00185635244609674
"17","Alicyclobacillus sp.",0.000492073786378417,1.05253186540222e-05,0.0101226993865031,0.000943974112408953,0.0002415,8.91087124898271e-07,456,0.00143604789878737
"18","Altererythrobacter sp.",0.00217427882887668,8e-06,0.027428,0.00209768630137758,0.001611,4.40028781898715e-06,492,0.00427196513025426
"19","Alysiosphaera sp.",0.00233359980486559,6e-06,0.012036,0.00218156163894245,0.001624,4.75921118450525e-06,489,0.00451516144380804
"20","Amaricoccus sp.",0.000940336919152471,4e-06,0.012607740408991,0.00142224881625639,0.0003755,2.02279169534271e-06,454,0.00236258573540886
"21","Amycolatopsis sp.",0.00070243491686433,5e-06,0.005114,0.000878717481993725,0.000402,7.72144413161392e-07,472,0.00158115239885805
"22","Anaerobranca sp.",0.00128977593874389,4e-06,0.008951,0.00180580014227255,0.000325,3.26091415383157e-06,461,0.00309557608101644
"23","Anaerolinea sp.",0.00268149697298087,1.05253186540222e-05,0.01847,0.00215324519166165,0.002313,4.63646485541402e-06,491,0.00483474216464252
"24","Anaeromyxobacter sp.",0.00292432080418659,1.05253186540222e-05,0.108451,0.00527737172150575,0.001994,2.78506522869486e-05,492,0.00820169252569234
"25","Aquabacterium sp.",0.000361282407360957,5e-06,0.0105235309679885,0.000638413626406064,0.000194,4.07571958380942e-07,455,0.000999696033767022
"26","Aquicella sp.",0.0035090368835824,2.10506373080445e-05,0.0322,0.00276208949646077,0.00309,7.62913838645893e-06,492,0.00627112638004318
"27","Arenicella sp.",0.000533499117295809,9e-06,0.0374907081219094,0.00213822775951309,0.000256781878046694,4.57201795155238e-06,462,0.0026717268768089
"28","Arenimonas sp.",0.00329645089915587,1.47099924979038e-05,0.0235268330106309,0.00363564967536331,0.0018855,1.32179485619694e-05,486,0.00693210057451918
"29","Armatimonas sp.",0.000583359397688794,5e-06,0.0408653033631908,0.00212820887974229,0.0003245,4.52927303581395e-06,480,0.00271156827743109
"30","Arthrobacter sp.",0.00643294647133415,1.48663515000149e-05,0.055165,0.00768535367269856,0.003809,5.90646610744612e-05,492,0.0141183001440327
"31","Asteroleplasma sp.",0.00128691692882731,5e-06,0.0605614929568258,0.00341262394411809,0.0004595,1.16460021839681e-05,476,0.0046995408729454
"32","Azoarcus sp.",0.000755110118331837,7e-06,0.0100852311655567,0.000949043369043361,0.0004415,9.00683316325173e-07,458,0.0017041534873752
"33","Azospira sp.",0.0176709445598752,1.83621006243114e-05,0.041776,0.00779253834588393,0.018018,6.07236538720715e-05,492,0.0254634829057591
"34","Azospirillum sp.",0.00240517264379802,2.11291413116971e-05,0.0311724963653468,0.00262034544034635,0.0017395,6.86621022674393e-06,492,0.00502551808414438
"35","Bacillus sp.",0.0187029609247947,1.59060904420303e-05,0.182415,0.0239254982597553,0.00861150878681372,0.000572429466977553,492,0.04262845918455
"36","Balneimonas sp.",0.00189011930847649,4e-06,0.0182866510273876,0.00212716930835869,0.0011455,4.52484926642319e-06,486,0.00401728861683518
"37","Bauldia sp.",0.000850921694513483,1.59060904420303e-05,0.006856,0.000848072463642572,0.000633,7.19226903588781e-07,490,0.00169899415815606
"38","Bdellovibrio sp.",0.00226121445908089,2.01995717690785e-05,0.032133676092545,0.00219128612374405,0.001802,4.80173487611321e-06,492,0.00445250058282494
"39","Blastocatella sp.",0.0178087034007595,1.59060904420303e-05,0.053928,0.00939200365966964,0.0173125,8.82097327432479e-05,492,0.0272007070604292
"40","Blastococcus aggregatus",0.000679212964393554,6e-06,0.0142072672041126,0.00120138282565549,0.000365,1.44332069377998e-06,453,0.00188059579004905
"41","Blastococcus sp.",0.00156568314168403,5e-06,0.029126213592233,0.00276971508979673,0.0005275,7.67132167864768e-06,470,0.00433539823148076
"42","Blastomonas sp.",0.000763503248171841,6e-06,0.0280724700867122,0.00158633744270138,0.0005095,2.51646648211635e-06,488,0.00234984069087322
"43","Blastopirellula sp.",0.00120370893880114,4e-06,0.0233438485804416,0.00137020621539492,0.000909,1.87746507270688e-06,491,0.00257391515419606
"44","Blautia sp.",0.000403715436374284,6e-06,0.0204654426382879,0.00129163503681914,0.000192,1.66832106833879e-06,461,0.00169535047319343
"45","Bosea sp.",0.00306305566705232,8e-06,0.012578,0.00255622609088383,0.002497,6.53429182771521e-06,491,0.00561928175793615
"46","Bradyrhizobium sp.",0.00869272045330076,1.48663515000149e-05,0.069883,0.00759374254718368,0.0070775,5.76649258729077e-05,492,0.0162864630004844
"47","Brevundimonas sp.",0.000680813568803996,6e-06,0.0693359642632026,0.00344044649036417,0.00027,1.18366720530592e-05,467,0.00412126005916817
"48","Bryobacter sp.",0.00946325028536262,2.10506373080445e-05,0.097669,0.0101078336481128,0.0061805,0.00010216830105792,492,0.0195710839334754
"49","Burkholderia sp.",0.00193984047867543,1.05253186540222e-05,0.087507,0.00489330383227136,0.0007665,2.39444223949216e-05,488,0.00683314431094679
"50","Butyrivibrio sp.",0.00027026149972502,4e-06,0.0106008209172296,0.000542308379087498,0.000162,2.94098378028509e-07,473,0.000812569878812517
"51","Byssovorax sp.",0.00213161547114541,1.48663515000149e-05,0.007286,0.00185530710157621,0.001368,3.44216444115912e-06,491,0.00398692257272162
"52","Bythopirellula sp.",0.000878540636623929,1.1e-05,0.00795349805250795,0.000940528574796382,0.000569,8.84594000008514e-07,483,0.00181906921142031
"53","Caenimonas sp.",0.00243573096327493,8e-06,0.017208,0.00335773659779938,0.000943,1.12743950602014e-05,484,0.00579346756107431
"54","Caldilinea sp.",0.00148699359806634,7e-06,0.0288423020429964,0.00154874438733239,0.001287,2.39860917729358e-06,490,0.00303573798539873
"55","Caldithrix sp.",0.00136878263815253,2.01995717690785e-05,0.008288,0.00140495058919148,0.001044,1.9738861580695e-06,462,0.00277373322734401
"56","Catellatospora sp.",0.000632791004210361,5e-06,0.0718319044362086,0.00337049040592729,0.000254,1.13602055764479e-05,471,0.00400328141013765
"57","Caulobacter sp.",0.00115775721426782,1.05253186540222e-05,0.019343,0.00162743012583191,0.000644598559238455,2.64852881446526e-06,486,0.00278518734009972
"58","Cellulomonas sp.",0.00144267343219642,1.1e-05,0.0172586460141541,0.00204863960973284,0.000674,4.19692425056633e-06,483,0.00349131304192926
