"c_muestra_wineseq","max_PER"
"A09A05",0.092843
"A24A3C",0.100184
"A3G008",0.149898
"A5601G",0.177684650151611
"A24A34",0.178764
"A07A08",0.181758
"A0214S",0.18244
"A24A2Z",0.182485
"A04A06",0.198305
"A24A38",0.198364
"A0213T",0.200554
"A5601F",0.206530196635959
"A06A0K",0.20851
"A3G005",0.212371
"A24A32",0.226227
"A24A39",0.229714
"A0214L",0.235292
"A06A0E",0.243166
"A3H007",0.247786
"A05A02",0.248229
"A04A0C",0.249059
"A04A08",0.25193
"A05A0M",0.25479
"A24A3H",0.256247
"A5601E",0.258147054688598
"A02145",0.25963
"A36005",0.261197
"E11007",0.264909
"A04A0E",0.265041
"A3B01B",0.26726
"A36004",0.271787
"A03A0E",0.275548
"A0214K",0.27882
"A05A05",0.279462
"A24A2X",0.282746
"A3H009",0.286809
"A06A1R",0.28689
"A07A0I",0.287041
"A07A0E",0.287469
"A07A0K",0.28925
"A07A0C",0.289362
"A3F007",0.290375
"A3I00G",0.291778
"A24A31",0.293577
"A03A0G",0.294565
"A0214P",0.29633
"A3I00C",0.300693
"A09A01",0.301242
"A24A2W",0.301354
"A3H006",0.304617
"A06A06",0.305342
"A24A3G",0.305739
"A10A03",0.307682
"A3H008",0.307906
"A07A02",0.312656
"A06A02",0.317025
"A05A0E",0.318144
"A03A0H",0.318442
"A3B01H",0.318941
"A03A0D",0.319767
"A09A0G",0.32084
"A05A0I",0.323261
"A3B017",0.323585
"E11009",0.325109
"A3I00B",0.327604
"A05A0C",0.329025
"A3F006",0.330245
"A09A0C",0.330768
"A07A06",0.330985
"A3B012",0.331737
"A05A07",0.331949
"A09A02",0.33348
"A04A02",0.334216
"A05A0A",0.336751
"A3I008",0.338738
"A0214G",0.339835
"A3B00H",0.341323
"A05A0K",0.34147
"A04A0I",0.344249
"A3I00I",0.345202
"A3F005",0.345509
"000A0B",0.351426
"A24A2Y",0.351426
"A3B011",0.353026
"E14009",0.354963
"A0214Q",0.356095
"A3B01F",0.360261
"E14008",0.363963
"A3H005",0.364139
"A24A30",0.366913
"A04A0K",0.368476
"E14006",0.370385
"A24A3D",0.373978
"A3B00F",0.374445
"A09A04",0.374687
"A3B018",0.37715
"A3I009",0.377654
"A3I00D",0.381729
"A3I00J",0.382729
"A05A08",0.384443
"A3B00G",0.385218
"A3B00L",0.39015
"A0214O",0.393344
"A06A1N",0.394985
"A3I00F",0.39506
"A07A04",0.396461
"A3B00U",0.398093
"A3I00A",0.399805
"A09A0F",0.399989
"A3B016",0.404906
"A3I00E",0.407993
"A3B015",0.40924
"A3B01G",0.415002
"A24A35",0.415624
"A06A0Q",0.415691
"A3B010",0.417605
"A02149",0.418927
"A06A04",0.42
"E14007",0.420968
"A07A0G",0.421835
"A09A07",0.424027
"A09A06",0.426447
"A3B00D",0.433267
"E11008",0.433367
"A04A04",0.435376
"A3B00I",0.437563
"A3G006",0.439784
"E11005",0.44035
"A3B00M",0.442797
"A24A2V",0.4449
"A06A08",0.445698
"A06A0C",0.449776
"E11006",0.450185
"A02141",0.451178
"A09A0H",0.452417
"A06A1L",0.453668
"A09A0E",0.455824
"A09A03",0.457516
"A09A00",0.46312
"A24A3B",0.468075
"A24A3J",0.468266
"A0213X",0.470755
"A3B019",0.471698
"A3B00S",0.473314
"A3B01C",0.473435
"A3B01D",0.475576
"A3B00O",0.481724
"A3B014",0.482878
"E02005",0.483048
"A0214H",0.483091
"A24A3A",0.484397
"A06A25",0.485733
"A06A1P",0.499477
"A09A0A",0.510282
"A3B00K",0.512447
"A3B00C",0.513979
"A06A1T",0.520949
"A0214M",0.526336
"A24A3F",0.52733
"A10A01",0.527953
"A3B00X",0.536767
"A09A0D",0.55914
"A3B00W",0.559407
"A3B00T",0.569013
"A3B00A",0.573101
"A24A37",0.585268
"A06A0A",0.58835
"E14005",0.593681
"A06A0W",0.612341
"A0214T",0.626342
"A06A27",0.668078
"A3B00E",0.731053
"A10A07",0.81259
"A24A36",0.813805
"A24A3I",0.815643
"A04A0A",0.830768
"A09A08",0.835433
"A07A0A",0.857374
"A10A05",0.872332
"A3B00P",0.88543
"A24A3E",0.893225
"A24A33",0.924417
