"c_muestra_wineseq","avg_PER","min_PER","max_PER","sd","var","total","mediaan"
"000A0B",0.00251894458438287,8e-06,0.351426,0.0235244831895475,0.000553401309335304,397,1.5e-05
"A0213T",0.00636943312101911,1.2e-05,0.200554,0.0221263452600653,0.000489575154567614,157,0.000165
"A0213X",0.0102040816326531,8e-06,0.470755,0.0509463938443718,0.00259553504574584,98,2.9e-05
"A02141",0.00636932484076433,8e-06,0.451178,0.0392976063212469,0.0015443018625797,157,4.9e-05
"A02145",0.0102040510204082,6e-06,0.25963,0.0398654940873987,0.00158925761883242,98,4.8e-05
"A02149",0.0108696739130435,1.2e-05,0.418927,0.0504756196002027,0.00254778817402437,92,0.000127
"A0214G",0.0098038431372549,1.1e-05,0.339835,0.0437519172186978,0.00191423026031178,102,3.3e-05
"A0214H",0.0087719649122807,1.8e-05,0.483091,0.0486793638818921,0.00236968046794566,114,8.9e-05
"A0214K",0.00568182954545455,1.2e-05,0.27882,0.0293522442376716,0.000861554241787924,176,0.000135
"A0214L",0.00990087128712871,1.4e-05,0.235292,0.0345044085579404,0.00119055420993327,101,5.8e-05
"A0214M",0.00704230281690141,1.1e-05,0.526336,0.0466322662643603,0.0021745682569502,142,5.4e-05
"A0214O",0.00740745925925926,9e-06,0.393344,0.0383436583952391,0.00147023613913079,135,8e-05
"A0214P",0.00892850892857143,1.4e-05,0.29633,0.0370321647237377,0.00137138122412605,112,7e-05
"A0214Q",0.00892847321428571,7e-06,0.356095,0.0399970611260377,0.00159976489871999,112,2.9e-05
"A0214S",0.0083334,1e-05,0.18244,0.0315567615701713,0.000995829200796638,120,2.9e-05
"A0214T",0.00653596078431373,3.8e-05,0.626342,0.0515458662283921,0.00265697632523529,153,0.000151
"A03A0D",0.00327866885245902,7e-06,0.319767,0.0219525335779712,0.000481913730491955,305,8.6e-05
"A03A0E",0.007874,4e-06,0.275548,0.035280790938161,0.00124473420922222,127,8.8e-05
"A03A0G",0.00243300243309002,5e-06,0.294565,0.0199984799271734,0.000399939199397556,411,4e-05
"A03A0H",0.00793642857142857,4e-06,0.318442,0.0368562215943911,0.00135838107021486,126,9.2e-05
"A04A02",0.00309591640866873,6e-06,0.334216,0.023645506316661,0.000559109968971254,323,2.6e-05
"A04A04",0.0102041020408163,1.2e-05,0.435376,0.049441183639138,0.00244443063963896,98,0.00015
"A04A06",0.0051282,7e-06,0.198305,0.0226683895006367,0.000513855882552577,195,0.000108
"A04A08",0.007999904,3e-06,0.25193,0.0362191863520819,0.00131182946000684,125,6.9e-05
"A04A0A",0.012499875,8e-06,0.830768,0.0931520600590776,0.00867730629325,80,1.6e-05
"A04A0C",0.00505041919191919,9e-06,0.249059,0.0272522597885902,0.000742685663584809,198,3.6e-05
"A04A0E",0.00421946835443038,7e-06,0.265041,0.0268249972654691,0.000719580478292425,237,2e-05
"A04A0I",0.0181819454545455,8e-06,0.344249,0.0599439560519961,0.00359327786716364,55,3.8e-05
"A04A0K",0.00574701149425287,5e-06,0.368476,0.0351590586011971,0.00123615940172241,174,1.6e-05
"A05A02",0.0097087572815534,3e-06,0.248229,0.0384281700006307,0.00147672424959737,103,3.7e-05
"A05A05",0.00395255731225296,3e-06,0.279462,0.0286525246203665,0.00082096716712071,253,8e-06
"A05A07",0.00909095454545455,1.1e-05,0.331949,0.0443237596748461,0.00196459567171351,110,0.000214
"A05A08",0.0055247955801105,7e-06,0.384443,0.0355517344402208,0.00126392582170798,181,3.6e-05
"A05A0A",0.0178570714285714,2e-06,0.336751,0.0588831808641968,0.00346722898868572,56,0.0001295
"A05A0C",0.00409841803278689,4e-06,0.329025,0.0284898288876356,0.000811670350046755,244,1.1e-05
"A05A0E",0.00507626395939086,8e-06,0.318144,0.0305799649382378,0.000935134255623851,197,1.5e-05
"A05A0I",0.0147058088235294,1.2e-05,0.323261,0.0536016480567132,0.00287313667439575,68,0.000117
"A05A0K",0.0094338679245283,7e-06,0.34147,0.0423347848098544,0.00179223400489667,106,7.55e-05
"A05A0M",0.005000015,6e-06,0.25479,0.0286436650685202,0.000820459548557562,200,2.3e-05
"A06A02",0.00675675,7e-06,0.317025,0.0374559301623231,0.00140294670432483,148,2e-05
"A06A04",0.00249370822942643,3e-06,0.42,0.0243795434376273,0.000594362138227158,401,1.9e-05
"A06A06",0.00961544230769231,1e-05,0.305342,0.0441689700785797,0.00195089791780246,104,0.00016
"A06A08",0.00469486854460094,4e-06,0.445698,0.0402884899453551,0.00162316242207698,213,2.6e-05
"A06A0A",0.0106382765957447,9e-06,0.58835,0.0632097993834399,0.00399547873809472,94,0.0001005
"A06A0C",0.00869562608695652,2e-06,0.449776,0.047727026827365,0.00227786908978002,115,3.4e-05
"A06A0E",0.01562496875,2.1e-05,0.243166,0.0435581380342971,0.00189731138901488,64,0.000652
"A06A0K",0.0131578157894737,1.3e-05,0.20851,0.036775261007625,0.00135241982217895,76,3.9e-05
"A06A0Q",0.0114943103448276,7e-06,0.415691,0.0492146659655457,0.00242208334610024,87,0.000206
"A06A0W",0.01562490625,6e-06,0.612341,0.0802894631489897,0.00644639789275298,64,8.6e-05
"A06A1L",0.0172412586206897,6e-06,0.453668,0.0662311332106777,0.00438656300637054,58,1.9e-05
"A06A1N",0.0105263473684211,5e-06,0.394985,0.0471019523547949,0.00221859391563337,95,7.5e-05
"A06A1P",0.0046082534562212,6e-06,0.499477,0.0380238382264057,0.00144581227346787,217,6.8e-05
