"c_muestra_wineseq","total"
"A3B015",37
"A3B00E",41
"A3B00A",51
"A3B00W",51
"A04A0I",55
"A05A0A",56
"A06A1L",58
"A3B00X",62
"A06A0E",64
"A06A0W",64
"E14005",65
"A09A07",66
"A3B00K",66
"A3B017",66
"A05A0I",68
"A3B00D",69
"A06A1R",73
"A3B00G",75
"A06A0K",76
"A3B00C",77
"A3B01C",79
"A04A0A",80
"A3H009",84
"A3B010",86
"A06A0Q",87
"A02149",92
"E14009",92
"A09A02",93
"A06A0A",94
"A3B01F",94
"A06A1N",95
"A3B00O",96
"A24A33",97
"A0213X",98
"A02145",98
"A04A04",98
"A09A00",99
"A09A05",99
"A07A0A",100
"A3B00M",100
"A0214L",101
"A0214G",102
"A05A02",103
"A09A0A",103
"A3B01G",103
"A06A06",104
"A06A27",104
"A3B018",104
"E14008",105
"A05A0K",106
"A3B012",108
"A05A07",110
"A3B00S",111
"A3B01B",111
"A3B01H",111
"A0214P",112
"A0214Q",112
"E11008",113
"A0214H",114
"A09A08",114
"A06A0C",115
"A3B00U",117
"A0214S",120
"A3B00H",120
"A3B00I",121
"A3B014",122
"A06A25",124
"A04A08",125
"A3B00F",125
"A03A0H",126
"A03A0E",127
"A36005",127
"A5601E",127
"A36004",128
"A07A0C",129
"B0100Q",129
"A06A1T",130
"A3B019",133
"A0214O",135
"A07A0G",135
"A10A05",135
"A3B00L",137
"E14006",137
"E11006",138
"A09A03",139
"A3B011",139
"A3B016",139
"A0214M",142
"E14007",143
"A06A02",148
"A07A0E",148
"A10A01",151
"A5601G",152
"A0214T",153
"A24A36",156
"A3B00P",156
"A0213T",157
"A02141",157
"A07A02",159
"A24A3I",161
"A24A3E",164
"A3B00T",164
"A09A06",166
"A3G005",166
"A3B01D",170
"A04A0K",174
"A0214K",176
"E11005",178
"A05A08",181
"A09A0D",183
"A09A0F",185
"A3I00E",185
"A3G006",186
"A3I008",186
"A3I00A",186
"A09A0E",188
"E02005",188
"A09A04",189
"A3I00G",189
"A3H007",191
"B0100R",192
"A07A08",194
"A04A06",195
"A05A0E",197
"A04A0C",198
"A05A0M",200
"A3I00B",201
"A10A07",203
"A09A01",205
"A06A08",213
"A3I00D",213
"A3I00J",216
"E11007",216
"A06A1P",217
"A5601F",217
"A3I00F",219
"A3I00I",221
"A09A0H",224
"A3H005",235
"A04A0E",237
"A24A35",237
"A24A3D",237
"A07A0I",238
"A24A3H",242
"A05A0C",244
"A3F005",248
"A09A0G",252
"A05A05",253
"A3I00C",257
"A24A30",261
"A24A37",262
"A24A3F",263
"A3I009",263
"A24A2V",266
"A24A3J",275
"A24A31",281
"A07A04",284
"A24A3A",286
"A03A0D",305
"A3H006",309
"A3G008",310
"E11009",313
"A24A39",316
"A3F007",317
"A04A02",323
"A24A32",323
"A24A2W",329
"A3F006",340
"A10A03",344
"A09A0C",366
"A3H008",366
"A07A0K",388
"A07A06",396
"000A0B",397
"A24A2Y",397
"A06A04",401
"A24A2X",409
"A03A0G",411
"A24A3G",434
"A24A3B",474
"A24A3C",489
"A24A38",534
"A24A2Z",539
"A24A34",581
