"","genus_specie","avg_PER","min_PER","max_PER","sd","mediaan","var","total","limit"
"1","Alternaria sp.",0.0470738403351007,2.81175312807536e-05,0.264935,0.0530930086341269,0.0278785,0.00281886756582347,112,0.100166848969228
"2","Aureobasidium pullulans",0.182231468468468,0.000272,0.527953,0.163319501334699,0.129017,0.0266732595162149,111,0.345550969803168
"3","Botrytis cinerea",0.0393565490196078,1.3e-05,0.52733,0.0928528236203393,0.001844,0.00862164685426985,102,0.132209372639947
"4","Cladosporium exasperatum",0.0459599636363636,2.6e-05,0.329025,0.0691193335653088,0.010989,0.00477748227251243,110,0.115079297201672
"5","Cladosporium grevilleae",0.00618332710280374,9e-06,0.060654,0.010547438655164,0.001333,0.000111248462184447,107,0.0167307657579677
"6","Cladosporium ramotenellum",0.0535380188679245,1.1e-05,0.485733,0.103465918621036,0.0078725,0.0107051963160949,106,0.157003937488961
"7","Cryptococcus chernovii",0.0103657115384615,4e-06,0.115352,0.0196712102819023,0.002628,0.000386956513954817,104,0.0300369218203638
"8","Davidiella tassiana",0.215466962616822,0.000498,0.513979,0.153150306966652,0.187284,0.0234550165239797,107,0.368617269583474
"9","Epicoccum nigrum",0.0756173027522936,1.2e-05,0.526336,0.0954386730781435,0.040215,0.00910854031891675,109,0.171055975830437
"10","Lewia infectoria",0.0347795765765766,4.8e-05,0.418927,0.064746934400655,0.010656,0.00419216551428272,111,0.0995265109772316
"11","Penicillium sp.",0.0852854594594595,0.000152,0.520949,0.12188295842941,0.033341,0.0148554555555052,111,0.207168417888869
"12","Pleospora herbarum",0.00697611428571429,4e-06,0.061476,0.0104535338976038,0.002391,0.000109276370948352,105,0.0174296481833181
