"c_muestra_wineseq","avg_PER","min_PER","max_PER","sd","var","total","mediaan"
"A02083",0.0163933606557377,1.3e-05,0.874755,0.112311304072955,0.0126138290225678,61,5.3e-05
"A02085",0.0416667916666667,2.9e-05,0.9006,0.183954386196328,0.0338392162008678,24,8.6e-05
"A02086",0.0102041428571429,1.2e-05,0.583484,0.066443851013352,0.00441478533748452,98,1.2e-05
"A02087",0.0181819454545455,1.2e-05,0.917139,0.123864487845838,0.0153424113493118,55,2.3e-05
"A02088",0.0126581012658228,4.8e-05,0.835054,0.0943599479602789,0.00890379977906654,79,9.6e-05
"A02090",0.01999968,3.2e-05,0.466019,0.0758027943075602,0.00574606362483428,50,3.2e-05
"A03A0S",0.00429192274678112,1.2e-05,0.162559,0.0215887599720766,0.000466074557131938,233,8.3e-05
"A03A1C",0.00617277777777778,8e-06,0.330277,0.034290565369776,0.00117584287337888,162,0.000203
"A03A20",0.00769223846153846,5.3e-05,0.559846,0.052053795755498,0.0027095976525551,130,0.000211
"A03A4C",0.00934571962616822,6e-06,0.545627,0.0552058584807798,0.00304768681059989,107,7e-05
"A04A17",0.00826455371900827,1.5e-05,0.655702,0.0637710190295392,0.00406674286806585,121,4.4e-05
"A04A1A",0.00362321739130435,8e-06,0.171167,0.0193476278755498,0.000374330704410752,276,6.2e-05
"A04A2A",0.00480769711538462,1.3e-05,0.226052,0.02387163305059,0.000569854864502021,208,8e-05
"A05A11",0.00396832936507937,8e-06,0.382487,0.0344908571267417,0.00118961922533731,252,2.5e-05
"A05A1D",0.0076923,9e-06,0.386349,0.0393155214361074,0.00154571022579302,130,0.0001315
"A05A1F",0.00558650279329609,1.1e-05,0.363727,0.0382468081456485,0.00146281833333005,179,8e-05
"A05A1X",0.008000096,1.1e-05,0.238203,0.0319734041038909,0.00102229856999071,125,0.00014
"A05A2J",0.00671134228187919,8e-06,0.271112,0.0340829501193009,0.00116164748883475,149,9.6e-05
"A05A2L",0.00584795906432749,1.1e-05,0.346409,0.0360362808602593,0.00129861353823949,171,3.4e-05
"A05A2V",0.00574718965517241,5e-06,0.312054,0.0320973099523573,0.0010302373061777,174,3.5e-05
"A07A0U",0.0036496094890511,8e-06,0.383453,0.0269734528027038,0.00072756715609969,274,0.000127
"A07A0X",0.00462964814814815,9e-06,0.213839,0.0234653414271821,0.000550622248294228,216,0.000215
"A07A10",0.00483089855072464,8e-06,0.294671,0.0279061000589363,0.000778750420499366,207,9.2e-05
"A07A14",0.00840334453781513,1.2e-05,0.306626,0.0350906553663694,0.00123135409404131,119,0.000235
"A07A1V",0.00420150840336134,8e-06,0.594223,0.0410296853577356,0.00168343508055478,238,1.7e-05
"A17A0O",0.111111222222222,4e-05,0.611071,0.213933110883272,0.0457673759321944,9,0.000618
"A17A0Q",0.0106383829787234,2.1e-05,0.776751,0.0800296590693411,0.00640474633075497,94,0.000349
"A17A0S",0.25000025,0.000124,0.998511,0.499007236245044,0.249008221824917,4,0.000683
"A17A0U",0.142857142857143,0.000184,0.976405,0.367629380670002,0.13515136153181,7,0.000734
"A17A0W",0.00980372549019608,2.8e-05,0.443944,0.061063103582052,0.00372870261907241,102,0.000456
"A17A0Y",0.00632915189873418,1.2e-05,0.326303,0.0291682485843762,0.000850786725479966,158,0.0007325
"A17A10",0.333333333333333,0.000269,0.998439,0.575998630646231,0.331774422506333,3,0.001292
"A17A12",0.2,1e-05,0.998111,0.446158051234649,0.1990570066815,5,0.000338
"A17A14",0.12499975,3.4e-05,0.919763,0.322203703491063,0.103815226543357,8,0.0001375
"A29A19",0.00383134865900383,3.3e-05,0.336409,0.023795051330967,0.000566204467843353,261,1e-04
"A29A21",0.00378777651515152,1.7e-05,0.321354,0.0243384525217851,0.000592360271155187,264,0.000102
"A29A35",0.00303947416413374,1.5e-05,0.271821,0.0183609302226313,0.000337123758640337,329,0.000186
"A29A36",0.00571421714285714,1.4e-05,0.290951,0.0264944930523685,0.000701958162102003,175,0.000302
"A36000",0.005000085,9e-06,0.28174,0.0296397385446083,0.000878514100992741,200,4.5e-05
"A36006",0.00877185087719298,2.2e-05,0.259961,0.0365653665921978,0.00133702603402181,114,0.000111
"A3A000",0.0322581290322581,1.7e-05,0.836663,0.150364105858134,0.0226093643305161,31,0.000387
"A3A001",0.03125,1.5e-05,0.805612,0.142822938178486,0.0203983916699355,32,8.25e-05
"A3A002",0.0294119411764706,1.7e-05,0.797612,0.139043673419092,0.0193331431178752,34,3.3e-05
"A3A003",0.02499995,1.3e-05,0.887271,0.140066378327719,0.0196185903378436,40,0.0001305
"A3A004",0.037036962962963,1.2e-05,0.696303,0.135245329893631,0.018291299258037,27,0.000144
"A3A005",0.0166667166666667,4.2e-05,0.328925,0.0476271554718744,0.00226834593834209,60,0.000873
"A3A006",0.0555556111111111,1.5e-05,0.648018,0.159176304358384,0.0253370958691928,18,0.0006535
"A3A007",0.0147059411764706,1.4e-05,0.387435,0.0568183132969198,0.00322832072590694,68,0.0005185
"A3A008",0.0625000625,1.2e-05,0.655384,0.165367492066798,0.0273464074324625,16,0.0022595
"A3A009",0.0238095714285714,3.4e-05,0.386753,0.0779552398614784,0.00607701942186063,42,0.000934
"A3A00A",0.0666667333333333,3.5e-05,0.560834,0.176881605883898,0.0312871025000667,15,7e-05
"A3A00B",0.076923,3.2e-05,0.559974,0.171584731113134,0.0294413199511667,13,0.00016
"A3A00C",0.0625000625,6.5e-05,0.470161,0.125294001986511,0.0156985869337958,16,0.014333
"A3A00D",0.0333333,4.4e-05,0.385998,0.0830632914798024,0.00689951039145862,30,0.000133
