"c_muestra_wineseq","total"
"A17A10",3
"A17A0S",4
"A17A12",5
"A17A0U",7
"A17A14",8
"A17A0O",9
"A3A00B",13
"A3A00A",15
"A3G00B",15
"A3A008",16
"A3A00C",16
"A3A01E",16
"A3G00Q",16
"A3A006",18
"A3O001",18
"A3A00F",22
"A02085",24
"A3F00C",26
"A3A004",27
"A3F00B",28
"A3A00D",30
"A3A000",31
"A3A001",32
"A3A002",34
"A3A003",40
"A3A009",42
"P0005F",49
"A02090",50
"A3A00E",52
"A02087",55
"A3A005",60
"A02083",61
"A3G00A",65
"A3A007",68
"A02088",79
"P0002A",79
"A17A0Q",94
"A02086",98
"A17A0W",102
"A03A4C",107
"P00027",110
"A36006",114
"A3G00C",114
"A07A14",119
"A04A17",121
"A05A1X",125
"E02000",127
"A03A20",130
"A05A1D",130
"E1400C",131
"P0000L",132
"A05A2J",149
"E1400A",150
"P0002T",151
"A3O008",152
"A3K001",156
"A17A0Y",158
"P0002H",161
"A03A1C",162
"E1400B",167
"A05A2L",171
"A05A2V",174
"A29A36",175
"A3O000",176
"P00012",178
"A05A1F",179
"A3B01P",180
"A36000",200
"A07A10",207
"A04A2A",208
"A3F00A",208
"P00072",208
"A07A0X",216
"P00076",227
"A03A0S",233
"P00033",233
"P0002C",237
"A07A1V",238
"A05A11",252
"P00015",253
"A29A19",261
"A29A21",264
"P00025",269
"A07A0U",274
"A04A1A",276
"P00032",278
"A29A35",329
"P00077",380
