"c_muestra_wineseq","max_PER"
"P00077",0.109185
"P00032",0.140863
"P0002C",0.161524
"A03A0S",0.162559
"P0002T",0.167729
"A04A1A",0.171167
"P00033",0.175851
"P00012",0.179197
"A3F00A",0.180275
"P00025",0.183519
"A3O000",0.1961
"A07A0X",0.213839
"A04A2A",0.226052
"E1400C",0.231675
"P00072",0.235975
"A05A1X",0.238203
"E1400A",0.243381
"P00015",0.248613
"P0002H",0.249299
"A36006",0.259961
"A05A2J",0.271112
"A29A35",0.271821
"A36000",0.28174
"A3K001",0.289615
"A29A36",0.290951
"A07A10",0.294671
"A07A14",0.306626
"A05A2V",0.312054
"A29A21",0.321354
"P0000L",0.322
"A17A0Y",0.326303
"A3A005",0.328925
"A03A1C",0.330277
"A29A19",0.336409
"A05A2L",0.346409
"P00076",0.356419
"A05A1F",0.363727
"A3O008",0.368943
"A3G00C",0.373149
"A05A11",0.382487
"A07A0U",0.383453
"A3A00D",0.385998
"A05A1D",0.386349
"A3A009",0.386753
"A3A007",0.387435
"A3G00Q",0.417578
"A17A0W",0.443944
"A02090",0.466019
"A3A00C",0.470161
"A3B01P",0.480344
"P0002A",0.499604
"P00027",0.501253
"A3O001",0.517889
"A03A4C",0.545627
"A03A20",0.559846
"A3A00B",0.559974
"A3A00A",0.560834
"A3G00B",0.581435
"A02086",0.583484
"A07A1V",0.594223
"E02000",0.595946
"A17A0O",0.611071
"A3A006",0.648018
"A3A008",0.655384
"A3A01E",0.655384
"A04A17",0.655702
"E1400B",0.692598
"P0005F",0.69596
"A3A004",0.696303
"A17A0Q",0.776751
"A3A002",0.797612
"A3A001",0.805612
"A3F00B",0.82049
"A02088",0.835054
"A3A000",0.836663
"A3A00E",0.871711
"A02083",0.874755
"A3A003",0.887271
"A02085",0.9006
"A02087",0.917139
"A17A14",0.919763
"A3A00F",0.930198
"A3F00C",0.948184
"A3G00A",0.96742
"A17A0U",0.976405
"A17A12",0.998111
"A17A10",0.998439
"A17A0S",0.998511
