"c_muestra_wineseq","avg_PER","min_PER","max_PER","sd","var","total","mediaan"
"000A01",0.0270271891891892,3.7e-05,0.832678,0.136364133410194,0.0185951768807132,37,0.001728
"000A04",0.00202426923076923,3.9e-05,0.197108,0.0101204442439105,0.000102423391694102,494,0.000313
"000A06",0.0043676288209607,8e-06,0.585808,0.0415715371571899,0.00172819270161162,229,6.2e-05
"000A08",0.00306748773006135,1.3e-05,0.154636,0.0129561222811636,0.000167861104564464,326,0.0001605
"000A0A",0.004065,2e-05,0.310982,0.0221377104112657,0.000490078222253061,246,0.00045
"000C07",0.00251894458438287,8e-06,0.351426,0.0235244831895475,0.000553401309335304,397,1.5e-05
"000C09",0.0270271891891892,3.7e-05,0.832678,0.136364133410194,0.0185951768807132,37,0.001728
"A02014",0.0071429,5.1e-05,0.103177,0.0153436625871091,0.00023542798158705,140,0.001166
"A02015",0.00724628985507246,2.7e-05,0.243013,0.0248749971118959,0.000618765481316831,138,0.0006645
"A02019",0.00819677868852459,3.4e-05,0.184916,0.0245307101296113,0.000601755739463013,122,0.0011
"A02020",0.00333328,1.6e-05,0.20248,0.017682910988627,0.000312685341031706,300,0.000113
"A02024",0.00549448901098901,3e-05,0.181766,0.0171348939910789,0.000293604592085514,182,0.000559
"A02034",0.00826452892561983,4e-05,0.235087,0.0317027721106726,0.00100506575950124,121,0.000476
"A02040",0.00302110271903323,2.3e-05,0.163687,0.011413918912757,0.000130277544946993,331,0.000392
"A02049",0.00467292056074766,1.3e-05,0.143077,0.0163992786970157,0.000268936341782392,214,0.000259
"A02054",0.00289028034682081,8e-06,0.25243,0.01655640381083,0.000274114507147265,346,0.0001125
"A02060",0.00336700673400673,9e-06,0.108607,0.0117216790686806,0.000137397760189144,297,0.000264
"A02061",0.00729929927007299,4.5e-05,0.330493,0.0310416931273287,0.000963586712211247,137,0.000624
"A02062",0.0116279418604651,4.9e-05,0.875545,0.0942875537478278,0.00889014279174952,86,0.000294
"A02064",0.00377364905660377,2.2e-05,0.105273,0.00961599892389775,9.24674353044027e-05,265,0.000479
"A02065",0.00432903463203463,3.9e-05,0.079338,0.00915813963634512,8.38715215987956e-05,231,0.001052
"A02066",0.0050251608040201,3.4e-05,0.090967,0.0125747518558673,0.000158124384236638,199,0.00091
"A02094",0.00362325362318841,2.3e-05,0.137273,0.0130986967929494,0.000171575857673623,276,0.000428
"A02096",0.00952378095238095,3.1e-05,0.321772,0.0344023933173431,0.00118352466596117,105,0.000903
"A02097",0.0084032268907563,3.3e-05,0.255942,0.0287656731311015,0.000827463950685372,119,0.000702
"A02123",0.00591708284023669,4.6e-05,0.363141,0.0299383027880077,0.000896301973826429,169,0.000739
"A02124",0.00684932876712329,4.3e-05,0.300469,0.0323493538642736,0.00104648069543599,146,0.0004095
"A02126",0.0285714571428571,4.2e-05,0.6491,0.116355343348914,0.0135385659258437,35,0.000167
"A02127",0.00980398039215686,1.9e-05,0.278594,0.040953985537014,0.00167722893136595,102,0.000397
"A02128",0.0270271891891892,3.7e-05,0.832678,0.136364133410194,0.0185951768807132,37,0.001728
"A02137",0.076923,4.8e-05,0.972337,0.26909429323721,0.0724117386528333,13,0.000144
"A0213B",0.00392149411764706,1.8e-05,0.160297,0.0156922043600046,0.000246245277676146,255,0.000271
"A0213C",0.00313483699059561,1.6e-05,0.260784,0.0170612262609346,0.000291085441526804,319,0.00019
"A0213F",0.00306748773006135,1.3e-05,0.154636,0.0129561222811636,0.000167861104564464,326,0.0001605
"A0213J",0.00357134642857143,1.6e-05,0.179532,0.0144017775126794,0.000207411195524718,280,9.6e-05
"A0213K",0.00327867213114754,1e-05,0.096096,0.0117244918110626,0.000137463708227675,305,0.000191
"A0213L",0.00318466242038217,2.2e-05,0.071157,0.00917395774550694,8.41615007163468e-05,314,0.0003245
"A0213M",0.0111109666666667,5e-06,0.245533,0.0354195875947321,0.0012545471853809,90,1.85e-05
"A0213S",0.00344830344827586,1.6e-05,0.134396,0.0131276891708489,0.000172336222966424,290,0.000203
"A02140",0.00357138214285714,1.7e-05,0.282449,0.0204972076785323,0.000420135522616884,280,0.000139
"A02144",0.00454552272727273,1.9e-05,0.143041,0.017667820893055,0.00031215189510907,220,0.000151
"A02148",0.00502506532663317,2.4e-05,0.30024,0.0257314888833172,0.000662109520152277,199,0.000144
"A0214C",0.00378790151515151,1.8e-05,0.238187,0.0190806043117825,0.000364069460902811,264,0.000159
"A0214D",0.00288175216138329,1.4e-05,0.092342,0.0106481524390921,0.000113383150366144,347,0.000188
"A0214J",0.00387600775193798,9e-06,0.225502,0.0175995538811943,0.00030974429681706,258,0.0001025
"A0214N",0.00254460305343511,1.7e-05,0.137421,0.010276885568843,0.000105614376995093,393,0.000168
"A0214R",0.0025974961038961,1e-05,0.085255,0.00915865621657151,8.3880983693344e-05,385,0.000181
"A03A01",0.00268812903225806,1.5e-05,0.175447,0.0118008983282027,0.000139261201352578,372,0.000198
"A03A02",0.02272725,7.5e-05,0.953153,0.143532238629211,0.0206015035259128,44,0.0008675
"A03A04",0.00297624702380952,1.5e-05,0.148552,0.0124457311200239,0.000154896223111932,336,0.0001555
"A03A05",0.00515470103092784,4e-05,0.21899,0.0229430895747844,0.00052638535923658,194,0.000415
"A03A06",0.00234194379391101,1.6e-05,0.135191,0.0101945146753692,0.000103928129466317,427,0.000301
"A03A07",0.0040649918699187,1e-05,0.279865,0.0214900284367466,0.000461821322212178,246,0.000133
"A03A09",0.00288190778097983,6e-06,0.574608,0.0310568331970351,0.000964526888228464,347,0.000156
"A04A03",0.00606057575757576,8.6e-05,0.233713,0.0232246628215046,0.000539384963172579,165,0.000776
"A04A05",0.00483086956521739,2.5e-05,0.227181,0.0233852004462243,0.000546867599910088,207,0.000253
"A04A07",0.00657900657894737,6.2e-05,0.283954,0.0255525923218016,0.000652934974364194,152,0.0009595
"A04A0B",0.00408158775510204,1.3e-05,0.20794,0.0203586332715611,0.000414473948685916,245,0.000238
"A04A0D",0.00478474162679426,2.5e-05,0.441368,0.0316706163152644,0.00100302793778869,209,0.000299
"A04A0F",0.00520834895833333,2.8e-05,0.210891,0.0200901290134761,0.000403613283778114,192,0.000584
"A04A0H",0.0035841541218638,1.8e-05,0.285968,0.0193132912989967,0.000373003220799902,279,0.000272
"A04A0J",0.00395254150197628,1.7e-05,0.138023,0.015770450540717,0.0002487071102572,253,0.000359
"A05A01",0.0136988082191781,9e-06,0.338611,0.0511354709928163,0.00261483639365715,73,6.8e-05
"A05A04",0.00520836458333333,6e-05,0.36991,0.0280159314060235,0.000784892412547011,192,0.000422
"A05A06",0.00429187124463519,4e-06,0.399102,0.0307721449320015,0.000946924903716108,233,1.5e-05
"A05A0B",0.004065,2e-05,0.310982,0.0221377104112657,0.000490078222253061,246,0.00045
"A05A0D",0.00310554037267081,1.1e-05,0.100343,0.0116144815701444,0.000134896182143225,322,0.0002065
"A05A0F",0.00254454452926209,1e-05,0.107879,0.0100106332486744,0.000100212778039466,393,0.000227
"A05A0H",0.00625005625,1.4e-05,0.192598,0.0241472986937331,0.000583092034204362,160,0.000347
"A06A01",0.00564981920903955,5e-06,0.542146,0.0444373198460877,0.0019746753951035,177,2.5e-05
"A06A03",0.00465113023255814,6e-06,0.380961,0.027512332271723,0.000756928427029689,215,0.000221
"A06A05",0.00321542122186495,3e-06,0.258356,0.0165711134319216,0.000274601800373612,311,0.000212
"A06A07",0.00440522466960352,2.1e-05,0.255282,0.024430323253537,0.00059684069427231,227,0.000278
"A06A09",0.00465114418604651,2.2e-05,0.314813,0.0240280647332428,0.000577347894824908,215,0.000376
"A06A0B",0.00364959489051095,1.1e-05,0.152826,0.0143242126160469,0.000205183067069717,274,0.00024
"A06A0D",0.00274728571428571,3e-06,0.281591,0.0166163195457347,0.000276102075245966,364,0.0001725
"A06A0F",0.00434782608695652,6e-06,0.557701,0.0376186435898701,0.00141516234554168,230,0.000232
"A06A0H",0.00531909042553191,3.2e-05,0.387308,0.0296925988003045,0.000881650423515843,188,0.000385
"A06A0L",0.0107527204301075,4e-06,0.393176,0.0456741570173668,0.00208612861924708,93,0.000131
"A06A0P",0.00416660833333333,4e-06,0.341078,0.0239622228094866,0.000574188121971479,240,0.000245
"A06A1K",0.00465116744186047,6e-06,0.274145,0.0249953531539282,0.000624767679289589,215,0.00018
"A06A1M",0.01190475,2.6e-05,0.323478,0.0393527320102644,0.00154863751667169,84,0.000446
"A07A03",0.00271735054347826,1e-05,0.158304,0.010752234905353,0.000115610555459891,368,0.000352
"A07A05",0.003124965625,1.1e-05,0.252082,0.0169784230571232,0.000288266849506651,320,0.000167
"A07A0B",0.0027100325203252,1.7e-05,0.134963,0.0103432261026672,0.000106982326210896,369,0.000267
"A07A0D",0.0048779756097561,4.3e-05,0.177155,0.017351181448004,0.000301063497641559,205,0.000598
"A07A0H",0.0034482275862069,2.3e-05,0.157853,0.0122215138785814,0.000149365401484357,290,0.000504
"A09A09",0.00331122847682119,7e-06,0.168848,0.01367676742558,0.000187053967213406,302,0.00021
"A09A0B",0.005208359375,2.3e-05,0.301452,0.0299699967589056,0.000898200705728812,192,0.0002445
"A09A0I",0.00398403187250996,5.7e-05,0.145234,0.0138518768735136,0.000191874492918981,251,0.000457
"A09A0J",0.0126582658227848,6e-05,0.237085,0.0361259550574521,0.00130508462881305,79,0.000363
"A09A0K",0.00729935766423358,7.1e-05,0.24355,0.0274339685726144,0.000752622631643194,137,0.000851
"A09A0L",0.00581396511627907,1.7e-05,0.541766,0.0421310375490308,0.00177502432495785,172,0.00034
"A09A0M",0.00540535675675676,1.8e-05,0.334016,0.0277243415757131,0.000768639115806816,185,0.000236
"A09A0N",0.00680285034013605,6.3e-05,0.310573,0.030491514200025,0.000929732438210325,147,0.000375
"A09A0O",0.0113636136363636,8.9e-05,0.119797,0.0230406050060412,0.00053086947904441,88,0.002674
"A09A0P",0.00408162040816327,2.1e-05,0.171001,0.0179126271502812,0.000320862211424991,245,0.000277
"A09A0Q",0.00512827692307692,3.7e-05,0.199749,0.0176283526551771,0.00031075881733529,195,0.000629
"A09A0T",0.0138888611111111,8e-05,0.284796,0.0371013369074278,0.00137650920031847,72,0.0012455
"A09A0V",0.00819668852459016,7.1e-05,0.271939,0.030444308656761,0.000926855929588132,122,0.001067
