"c_muestra_wineseq","max_PER"
"B0100F",0.06015
"APG00V",0.0640168342296002
"APG00J",0.0699732586272762
"A0213L",0.071157
"BMK03V",0.073306
"A3T003",0.074176
"A36002",0.078718
"A02065",0.079338
"A29A05",0.081162
"E08005",0.083199
"BMK03M",0.085018
"A0214R",0.085255
"A5A000",0.0894786942158016
"A02066",0.090967
"A0214D",0.092342
"A3G003",0.093051
"E02004",0.093172
"APG010",0.0932118846237259
"A22A02",0.09345
"A29A18",0.093872
"A3I007",0.093994
"A37005",0.0941280924577138
"A3S002",0.094489
"A17A1N",0.094514
"E08008",0.094953
"A3U001",0.096086
"A0213K",0.096096
"A24A17",0.097258
"WWW03R",0.097545
"A24A0K",0.097721
"BMK03H",0.097813
"A09A1B",0.098066
"WWW023",0.098558
"APG00N",0.0986254908961085
"APR001",0.100144
"A05A0D",0.100343
"A47004",0.100489
"BMK03U",0.101067
"BMK03L",0.103027
"A02014",0.103177
"A3B005",0.103816
"A02064",0.105273
"E11004",0.106494
"A3700A",0.106851813715395
"E18000",0.107271
"A05A0F",0.107879
"A02060",0.108607
"A3S003",0.109122
"A5F000",0.11007
"BMK03S",0.11044
"A24A1A",0.111537
"B0100E",0.1116
"BMK03R",0.111611
"A3I006",0.111633
"E08007",0.111742
"WWW00A",0.113024
"A5C000",0.11316
"APQ001",0.113446
"A3S006",0.113479
"B0100D",0.114421
"A3D007",0.114647
"A3P00B",0.115004
"A09A1C",0.11547
"A3P00E",0.116432
"AB0000",0.116744
"A24A04",0.117828
"WWW002",0.117839
"A17A03",0.118368
"A09A0O",0.119797
"A24A2N",0.120788
"WWW047",0.120807
"WWW01Z",0.121515
"A29A30",0.121854
"A3H003",0.122094
"A29A12",0.122518
"A24A0Q",0.123155
"WWW02A",0.123501
"APY003",0.124489
"A3D005",0.124529
"WWW02K",0.124811
"A5G000",0.126978512689009
"APS000",0.127506
"WWW01V",0.129448
"A37001",0.129451
"E11002",0.129934
"A3S007",0.130464
"A24A2L",0.131386
"WWW01U",0.131731
"A3Y003",0.131909
"APG011",0.132668614251238
"WWW025",0.133117
"A0213S",0.134396
"A07A0B",0.134963
"WWW01D",0.13513
"A03A06",0.135191
"A09A11",0.135313
"WWW03S",0.136253
"A09A10",0.137198
"A02094",0.137273
"APG00K",0.137379582233809
"A0214N",0.137421
"A31A04",0.137633
"A04A0J",0.138023
"A24A22",0.138355
"A3H004",0.138621
"A46005",0.139757
"A24A02",0.140398
"A24A0J",0.140732
"A24A1B",0.140781
"APY002",0.141401
"A3B000",0.142332
"A5H000",0.142560718416219
"A37008",0.14296078180344
"A02144",0.143041
"A02049",0.143077
"A3B01K",0.143428
"A3Y001",0.144344
"A22A01",0.145212
"A09A0I",0.145234
"A3F001",0.145368
"A3P00A",0.146824
"A3I002",0.14695
"A3U00A",0.147201
"A03A04",0.148552
"APY001",0.149424
"WWW042",0.151238
"A3Q005",0.151622
"A3Q004",0.151884
"A24A05",0.152177
"A3Y002",0.152343
"A06A0B",0.152826
"A3I005",0.153457
"A29A39",0.153707
"APG009",0.153741754253069
"000A08",0.154636
"A0213F",0.154636
"A3U00C",0.155264
"WWW034",0.155482
"A3Q00M",0.15611
"A19A03",0.157431
"A36003",0.15763
"E11001",0.157649
"A07A0H",0.157853
"A17A1K",0.158221
"A07A03",0.158304
"A3B003",0.15836
"A31A08",0.159238
"A29A09",0.160074
"A3U004",0.160233
"A0213B",0.160297
"A47002",0.160359
"A29A34",0.161639
"A29A07",0.16177
"A3B004",0.161834
"A3G004",0.162417
